state_name, health_expenditure
"Alabama","$45673"
"Alaska","$9975"
"Arizona","$64980"
"Arkansas","$28300"
"California","$405451"
"Colorado","$49849"
"Connecticut","$44425"
"Delaware","$12729"
"District of Columbia","$10251"
"Florida","$214408"
"Georgia","$93803"
"Hawaii","$14480"
"Idaho","$14886"
"Illinois","$128263"
"Indiana","$71040"
"Iowa","$30968"
"Kansas","$27414"
"Kentucky","$45922"
"Louisiana","$48845"
"Maine","$16306"
"Maryland","$65641"
"Massachusetts","$91817"
"Michigan","$98638"
"Minnesota","$61357"
"Mississippi","$27870"
"Missouri","$61031"
"Montana","$11035"
"Nebraska","$20371"
"Nevada","$26200"
"New Hampshire","$16113"
"New Jersey","$105416"
"New Mexico","$18750"
"New York","$270847"
"North Carolina","$94532"
"North Dakota","$8649"
"Ohio","$122521"
"Oklahoma","$37595"
"Oregon","$42716"
"Pennsylvania","$148327"
"Rhode Island","$12362"
"South Carolina","$45742"
"South Dakota","$11154"
"Tennessee","$64295"
"Texas","$246812"
"Utah","$24447"
"Vermont","$7951"
"Virginia","$78989"
"Washington","$71277"
"West Virginia","$22790"
"Wisconsin","$58220"
"Wyoming","$6399"

"Notes"
"The Centers for Medicare and Medicaid Services (CMS) Office of the Actuary produces Health Expenditures by State of Residence and Health Expenditures by State of Provider every five years. The State Health Expenditure Accounts are a subcomponent of the National Health Expenditure Accounts (NHEA), the official government estimates of health spending in the United States.  "
""
"All health spending is displayed in millions of dollars."
""
"Additional information on data and methods is available [here.](http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html)  "
""
"For additional analysis of these data, please see Health Affairs article, [""Health Spending by State, 1991-2014: Measuring Per Capita Spending by Payer and Programs""](http://content.healthaffairs.org/content/early/2017/06/13/hlthaff.2017.0416)."

"Sources"
"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group. [National Health Expenditure Data: Health Expenditures by State of Residence](https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html), August 2022."

"Definitions"
"*Total Health Spending*: includes spending for all privately and publicly funded personal health care services and products (hospital care, physician services, nursing home care, prescription drugs, etc.) by state of residence. Hospital spending is included and reflects the total net revenue (gross charges less contractual adjustments, bad debts, and charity care). Costs such as insurance program administration, research, and construction expenses are not included in this total."


