date,1wk_WIS,1_week_roc,is_wis_above_avg,1st_deriv_stencil,week_of_year,moving_avg_WIS,lagged_1wk_WIS,loc_code,holiday_last_week
2023-10-28,19.51,0.32,0,7.333333333333333,43,13.273333333333335,13.51,18,0
2023-11-04,6.51,0.1818181818181818,0,4.166666666666667,44,13.17666666666667,19.51,18,0
2023-11-11,45.84,0.205128205128205,0,27.75,45,23.953333333333337,6.51,18,0
2023-11-18,11.54,0.8510638297872339,0,16.416666666666668,46,21.29666666666667,45.84,18,1
2023-11-25,37.36,-0.0344827586206896,0,25.75,47,31.58,11.54,18,0
2023-12-02,9.01,0.6428571428571428,0,31.33333333333333,48,19.30333333333333,37.36,18,1
2023-12-09,6.52,0.0579710144927536,0,29.166666666666668,49,17.630000000000003,9.01,18,0
2023-12-16,15.34,0.4178082191780821,0,69.08333333333333,50,10.29,6.52,18,0
2023-12-23,20.43,0.3816425120772946,0,121.75,51,14.09666666666667,15.34,18,0
2023-12-30,192.22,0.5,1,100.33333333333331,52,75.99666666666667,20.43,18,0
2024-01-06,266.43,0.0745920745920745,1,-21.416666666666668,1,159.69333333333336,192.22,18,1
2024-01-13,325.83,-0.1258134490238611,1,-78.83333333333333,2,261.49333333333334,266.43,18,1
2024-01-27,13.5,0.0,0,-16.5,4,201.92,325.83,18,1
2024-02-03,16.03,0.0955223880597015,0,28.5,5,118.45333333333332,13.5,18,0
2024-02-10,12.35,0.0108991825613078,0,-12.916666666666666,6,13.96,16.03,18,0
2024-02-17,11.99,-0.0592991913746631,0,-13.0,7,13.456666666666669,12.35,18,0
2024-02-24,11.86,-0.0085959885386819,0,-14.583333333333334,8,12.066666666666668,11.99,18,0
2024-03-02,11.15,-0.0664739884393064,0,2.5,9,11.666666666666666,11.86,18,1
2024-03-09,8.72,0.0464396284829722,0,-28.916666666666668,10,10.576666666666666,11.15,18,0
2024-03-16,77.07,-0.2455621301775148,1,-112.08333333333331,11,32.31333333333333,8.72,18,0
2024-03-23,70.07,-0.4156862745098039,1,-49.5,12,51.953333333333326,77.07,18,0
2024-03-30,6.64,0.0469798657718121,0,7.0,13,51.25999999999999,70.07,18,0
2023-10-28,9.7,0.0666666666666666,0,1.8333333333333333,43,8.626666666666667,6.39,01,0
2023-11-04,22.23,0.15625,0,14.75,44,12.773333333333332,9.7,01,0
2023-11-11,38.66,0.6216216216216217,1,23.25,45,23.53,22.23,01,0
2023-11-18,14.96,0.2833333333333334,0,4.666666666666667,46,25.28333333333333,38.66,01,1
2023-11-25,18.18,-0.0519480519480519,0,1.0833333333333333,47,23.933333333333334,14.96,01,0
2023-12-02,4.62,0.1643835616438356,0,19.166666666666668,48,12.586666666666666,18.18,01,1
2023-12-09,10.18,0.3058823529411765,0,26.916666666666668,49,10.993333333333334,4.62,01,0
2023-12-16,114.28,0.3603603603603604,1,93.58333333333331,50,43.02666666666667,10.18,01,0
2023-12-23,19.78,0.8410596026490067,0,78.08333333333333,51,48.080000000000005,114.28,01,0
2023-12-30,15.52,0.0719424460431654,0,40.833333333333336,52,49.86000000000001,19.78,01,0
