state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
5,AR,2023-10-14,4.79,1.94,5.53,11.01,5.817500000000001
5,AR,2023-10-21,1.12,3.18,5.79,1.76,2.9625
5,AR,2023-10-28,1.66,8.0,1.26,9.47,5.0975
5,AR,2023-11-04,5.45,1.49,7.93,3.89,4.69
5,AR,2023-11-11,1.23,9.33,5.19,19.89,8.91
5,AR,2023-11-18,3.81,1.38,11.57,22.11,9.7175
5,AR,2023-11-25,1.49,11.53,21.7,64.42,24.785
5,AR,2023-12-02,19.24,31.28,74.1,165.1,72.42999999999999
5,AR,2023-12-09,30.0,71.95,161.47,210.17,118.39750000000001
5,AR,2023-12-16,48.73,126.91,162.96,137.01,118.9025
5,AR,2023-12-23,103.73,132.65,97.25,77.16,102.69749999999999
5,AR,2023-12-30,16.85,37.36,125.91,217.84,99.49000000000001
5,AR,2024-01-06,82.32,215.83,367.32,676.28,335.4375
5,AR,2024-01-13,112.69,203.87,430.67,664.3,352.8825
5,AR,2024-01-27,6.73,48.22,22.29,45.28,30.630000000000003
5,AR,2024-02-03,40.81,15.68,27.17,33.39,29.2625
5,AR,2024-02-10,10.96,23.79,32.06,9.1,18.9775
5,AR,2024-02-17,21.48,28.46,6.36,25.06,20.34
5,AR,2024-02-24,14.66,5.33,35.04,126.56,45.3975
5,AR,2024-03-02,5.41,37.6,128.04,149.56,80.1525
5,AR,2024-03-09,43.98,134.02,158.07,175.2,127.8175
5,AR,2024-03-16,121.75,143.45,161.51,174.56,150.3175
5,AR,2024-03-23,144.75,165.45,174.51,191.56,169.0675
5,AR,2024-03-30,36.06,31.51,37.24,22.02,31.7075
