state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
08,CO,2023-10-14,6.11,5.67,19.58,34.71
08,CO,2023-10-21,2.64,8.02,25.92,70.08
08,CO,2023-10-28,12.76,28.6,75.92,105.08
08,CO,2023-11-04,21.64,66.67,89.11,71.28
08,CO,2023-11-11,71.49,101.67,78.11,98.28
08,CO,2023-11-18,65.8,36.97,33.74,60.47
08,CO,2023-11-25,11.92,11.13,19.36,18.91
08,CO,2023-12-02,59.36,121.03,299.87,532.16
08,CO,2023-12-09,14.86,44.48,75.7,291.8
08,CO,2023-12-16,9.66,13.64,115.16,290.5
08,CO,2023-12-23,18.91,142.02,319.04,604.45
08,CO,2023-12-30,126.86,282.3,543.35,729.53
08,CO,2024-01-06,182.25,408.28,546.51,790.64
08,CO,2024-01-13,257.13,334.91,501.62,656.71
08,CO,2024-01-27,18.95,45.04,19.32,36.32
08,CO,2024-02-03,27.74,8.37,20.44,13.39
08,CO,2024-02-10,6.53,9.07,5.59,8.56
08,CO,2024-02-17,12.13,6.24,8.46,39.36
08,CO,2024-02-24,3.93,7.78,33.35,47.8
08,CO,2024-03-02,4.47,19.04,34.35,18.95
08,CO,2024-03-09,31.35,46.27,26.31,16.26
08,CO,2024-03-16,34.4,19.11,12.26,19.63
08,CO,2024-03-23,9.02,5.4,17.47,2.51
08,CO,2024-03-30,3.5,5.98,4.82,3.47
