state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
09,CT,2023-10-14,4.53,6.33,2.32,0.5
09,CT,2023-10-21,3.36,0.93,3.33,1.31
09,CT,2023-10-28,0.9,3.37,1.24,10.7
09,CT,2023-11-11,1.72,11.27,22.27,47.48
09,CT,2023-11-18,9.26,22.27,46.27,64.48
09,CT,2023-11-25,19.41,45.46,60.89,106.9
09,CT,2023-12-02,41.6,57.21,99.65,94.08
09,CT,2023-12-09,16.52,30.43,18.54,33.55
09,CT,2023-12-16,25.98,8.98,10.34,81.45
09,CT,2023-12-23,8.76,8.63,104.71,265.66
09,CT,2023-12-30,10.89,106.53,236.11,437.77
09,CT,2024-01-06,92.01,215.95,413.32,621.48
09,CT,2024-01-13,115.0,252.53,372.48,626.14
09,CT,2024-01-20,143.37,204.78,378.27,509.53
09,CT,2024-02-03,4.86,33.47,36.22,105.68
09,CT,2024-02-10,38.15,34.77,102.85,159.67
09,CT,2024-02-17,13.36,78.69,135.85,93.06
09,CT,2024-02-24,66.23,115.28,79.33,21.06
09,CT,2024-03-02,66.74,27.65,10.08,17.01
09,CT,2024-03-09,21.45,10.37,19.72,13.62
09,CT,2024-03-16,29.91,46.41,40.7,39.7
09,CT,2024-03-23,33.44,26.02,24.69,50.03
09,CT,2024-03-30,27.44,27.02,50.69,55.03
09,CT,2024-04-06,6.95,25.42,24.81,13.88
