state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
10,DE,2023-10-14,0.0,1.0,1.0,1.0
10,DE,2023-10-21,0.53,0.53,0.53,0.54
10,DE,2023-10-28,0.53,0.53,0.53,0.93
10,DE,2023-11-11,0.33,1.6,0.57,0.43
10,DE,2023-11-18,1.01,0.71,0.18,6.21
10,DE,2023-11-25,0.93,0.46,6.99,14.05
10,DE,2023-12-02,0.25,6.69,11.33,15.29
10,DE,2023-12-09,3.36,15.74,20.81,55.99
10,DE,2023-12-16,8.49,9.15,40.07,19.44
10,DE,2023-12-23,10.36,38.51,18.07,3.68
10,DE,2023-12-30,16.39,3.4,31.11,48.54
10,DE,2024-01-06,31.6,85.55,133.42,177.54
10,DE,2024-01-13,33.84,59.76,76.09,84.83
10,DE,2024-01-20,21.3,33.86,42.83,45.28
10,DE,2024-02-03,5.12,12.29,27.48,19.43
10,DE,2024-02-10,10.38,25.01,15.77,28.44
10,DE,2024-02-17,20.51,13.06,27.68,23.91
10,DE,2024-02-24,1.61,8.73,8.04,4.9
10,DE,2024-03-02,8.84,10.37,3.11,3.39
10,DE,2024-03-09,4.84,3.22,1.91,3.0
10,DE,2024-03-16,2.38,3.72,3.97,2.68
10,DE,2024-03-23,1.39,1.89,2.1,3.44
10,DE,2024-03-30,1.7,1.72,6.24,2.64
10,DE,2024-04-06,2.97,3.16,2.77,4.85
