state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
12,FL,2023-10-14,80.78,95.22,218.84,230.62
12,FL,2023-10-21,88.74,210.66,217.84,421.75
12,FL,2023-10-28,218.28,228.66,407.84,470.75
12,FL,2023-11-04,136.41,314.68,348.43,368.25
12,FL,2023-11-11,326.41,363.68,395.43,383.25
12,FL,2023-11-18,276.78,287.04,251.06,295.3
12,FL,2023-11-25,35.56,29.52,45.91,55.42
12,FL,2023-12-02,24.91,33.66,40.1,83.98
12,FL,2023-12-09,19.82,36.74,250.91,202.5
12,FL,2023-12-16,31.2,195.4,130.26,161.48
12,FL,2023-12-23,215.91,179.38,127.97,419.22
12,FL,2023-12-30,51.11,298.81,631.3,848.9
12,FL,2024-01-06,373.8,725.53,979.17,1304.69
12,FL,2024-01-13,478.6,668.79,937.73,969.35
12,FL,2024-01-27,102.02,24.31,36.59,33.67
12,FL,2024-02-03,64.2,27.93,33.73,25.45
12,FL,2024-02-10,20.3,23.51,17.91,36.67
12,FL,2024-02-17,21.85,18.87,33.95,68.99
12,FL,2024-02-24,16.14,33.33,73.96,38.69
12,FL,2024-03-02,15.71,31.7,18.14,27.9
12,FL,2024-03-09,62.31,33.06,48.85,17.9
12,FL,2024-03-16,23.54,38.41,13.72,36.53
12,FL,2024-03-23,14.53,13.62,18.44,12.24
12,FL,2024-03-30,10.74,23.27,11.11,23.06
