state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
13,GA,2023-10-14,2.75,2.96,15.52,66.4,21.907500000000002
13,GA,2023-10-21,1.37,12.15,64.27,80.1,39.4725
13,GA,2023-10-28,14.53,66.76,81.27,103.1,66.41499999999999
13,GA,2023-11-04,74.7,84.18,107.4,174.2,110.11999999999999
13,GA,2023-11-11,91.7,107.18,176.4,210.2,146.37
13,GA,2023-11-18,76.81,139.65,168.23,325.91,177.65
13,GA,2023-11-25,68.3,83.89,237.42,515.63,226.31
13,GA,2023-12-02,72.03,236.34,511.08,870.51,422.49
13,GA,2023-12-09,206.67,474.36,833.38,417.41,482.955
13,GA,2023-12-16,354.16,619.04,100.16,73.99,286.83750000000003
13,GA,2023-12-23,347.51,145.52,554.4,1036.82,521.0625
13,GA,2023-12-30,122.55,504.01,945.39,1342.41,728.5899999999999
13,GA,2024-01-06,553.6,1046.25,1496.44,2062.85,1289.7849999999999
13,GA,2024-01-13,542.92,813.94,1187.39,1508.18,1013.1075000000001
13,GA,2024-01-27,96.94,138.15,141.61,113.02,122.43
13,GA,2024-02-03,49.17,65.0,43.0,87.31,61.120000000000005
13,GA,2024-02-10,37.51,20.72,57.56,44.89,40.17
13,GA,2024-02-17,18.66,52.88,37.95,16.02,31.3775
13,GA,2024-02-24,46.75,33.41,13.94,10.86,26.24
13,GA,2024-03-02,14.22,3.77,3.47,2.54,6.0
13,GA,2024-03-09,4.33,3.91,5.23,3.0,4.1175
13,GA,2024-03-16,3.42,4.43,2.9,4.03,3.6950000000000003
13,GA,2024-03-23,14.89,9.2,3.16,6.03,8.32
13,GA,2024-03-30,2.64,4.16,2.05,2.12,2.7425000000000006
