state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
15,HI,2023-10-14,4.03,3.23,2.5,3.75,3.3775
15,HI,2023-10-21,1.07,0.87,1.0,11.58,3.63
15,HI,2023-10-28,0.76,2.3,10.26,8.84,5.54
15,HI,2023-11-04,2.18,11.02,5.53,3.76,5.6225000000000005
15,HI,2023-11-11,14.06,8.02,3.31,12.12,9.3775
15,HI,2023-11-18,6.42,2.58,7.33,2.5,4.7075
15,HI,2023-11-25,0.98,3.92,1.72,2.26,2.2199999999999998
15,HI,2023-12-02,2.0,5.93,9.83,12.27,7.507499999999999
15,HI,2023-12-09,4.15,9.62,13.24,14.93,10.485
15,HI,2023-12-16,4.12,4.25,2.21,16.86,6.86
15,HI,2023-12-23,1.09,1.15,10.89,17.7,7.7075
15,HI,2023-12-30,3.06,8.86,14.07,9.26,8.8125
15,HI,2024-01-06,14.48,22.6,21.06,50.82,27.240000000000002
15,HI,2024-01-13,15.07,11.72,39.45,30.6,24.21
15,HI,2024-01-27,14.93,2.61,7.96,5.77,7.8175
15,HI,2024-02-03,1.12,2.57,2.17,3.69,2.3874999999999997
15,HI,2024-02-10,1.58,2.38,7.39,0.84,3.0475
15,HI,2024-02-17,4.21,3.8,1.29,8.19,4.3725000000000005
15,HI,2024-02-24,8.2,2.27,10.38,1.31,5.54
15,HI,2024-03-02,2.12,10.66,0.59,1.96,3.8325000000000005
15,HI,2024-03-09,7.63,0.26,1.23,4.35,3.3674999999999997
15,HI,2024-03-16,0.24,0.79,1.55,3.66,1.56
15,HI,2024-03-23,0.93,1.22,3.22,0.82,1.5475
15,HI,2024-03-30,1.08,5.59,2.35,6.61,3.9074999999999998
