state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
16,ID,2023-10-14,0.41,2.25,2.92,1.96
16,ID,2023-10-21,1.42,2.28,1.4,8.44
16,ID,2023-10-28,2.29,1.42,8.24,5.44
16,ID,2023-11-04,0.58,3.43,0.53,10.37
16,ID,2023-11-11,6.66,1.06,10.82,37.37
16,ID,2023-11-18,1.19,9.94,36.54,55.03
16,ID,2023-11-25,9.68,35.44,56.24,103.05
16,ID,2023-12-02,27.26,42.79,80.9,117.33
16,ID,2023-12-09,30.96,54.88,66.33,21.03
16,ID,2023-12-16,33.22,30.55,17.06,129.03
16,ID,2023-12-23,17.39,126.55,354.6,649.05
16,ID,2023-12-30,57.59,240.06,467.16,823.68
16,ID,2024-01-06,194.81,377.96,656.25,1057.58
16,ID,2024-01-13,123.41,244.4,392.08,631.11
16,ID,2024-01-27,21.28,29.29,38.03,74.97
16,ID,2024-02-03,12.23,21.88,59.96,42.23
16,ID,2024-02-10,10.58,49.18,28.69,45.11
16,ID,2024-02-17,43.5,22.67,41.5,41.22
16,ID,2024-02-24,6.19,12.44,14.4,8.67
16,ID,2024-03-02,9.27,11.13,6.91,5.38
16,ID,2024-03-09,12.08,6.79,3.8,2.89
16,ID,2024-03-16,4.32,3.09,5.49,19.8
16,ID,2024-03-23,3.32,8.3,22.31,16.8
16,ID,2024-03-30,5.28,20.42,15.56,14.02
