state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
18,IN,2023-10-14,6.8,10.5,16.73,19.95
18,IN,2023-10-21,13.51,18.58,19.95,55.8
18,IN,2023-10-28,19.51,26.58,59.95,52.8
18,IN,2023-11-04,6.51,42.45,30.78,75.05
18,IN,2023-11-11,45.84,39.45,84.78,83.05
18,IN,2023-11-18,11.54,48.14,36.48,74.1
18,IN,2023-11-25,37.36,23.89,55.08,104.33
18,IN,2023-12-02,9.01,7.95,11.45,17.94
18,IN,2023-12-09,6.52,16.63,52.88,13.46
18,IN,2023-12-16,15.34,60.86,12.44,141.27
18,IN,2023-12-23,20.43,113.05,356.2,670.21
18,IN,2023-12-30,192.22,488.37,885.39,1326.02
18,IN,2024-01-06,266.43,546.31,830.99,1162.44
18,IN,2024-01-13,325.83,514.26,723.52,1022.26
18,IN,2024-01-27,13.5,24.99,33.13,50.47
18,IN,2024-02-03,16.03,23.28,45.85,60.64
18,IN,2024-02-10,12.35,26.99,32.39,67.69
18,IN,2024-02-17,11.99,14.86,39.5,10.53
18,IN,2024-02-24,11.86,15.08,19.47,88.46
18,IN,2024-03-02,11.15,32.53,105.28,81.46
18,IN,2024-03-09,8.72,61.65,31.77,21.34
18,IN,2024-03-16,77.07,52.67,34.5,65.86
18,IN,2024-03-23,70.07,55.67,83.5,114.86
18,IN,2024-03-30,6.64,19.15,47.6,50.64
