state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
20,KS,2023-10-14,1.66,0.53,1.06,1.99,1.31
20,KS,2023-10-21,2.12,3.71,1.68,2.22,2.4325
20,KS,2023-10-28,1.43,0.98,2.89,11.27,4.1425
20,KS,2023-11-04,2.53,6.38,16.67,23.78,12.34
20,KS,2023-11-11,8.62,17.38,23.67,23.78,18.3625
20,KS,2023-11-18,14.66,22.29,20.21,22.75,19.9775
20,KS,2023-11-25,21.29,18.09,18.65,65.07,30.775
20,KS,2023-12-02,2.94,9.24,9.17,23.98,11.3325
20,KS,2023-12-09,3.12,15.32,3.47,19.93,10.46
20,KS,2023-12-16,24.65,10.68,3.62,13.87,13.204999999999998
20,KS,2023-12-23,5.02,26.83,61.99,152.87,61.6775
20,KS,2023-12-30,33.86,71.9,168.93,250.98,131.4175
20,KS,2024-01-06,34.9,112.3,167.36,153.22,116.945
20,KS,2024-01-13,72.83,109.25,71.0,117.32,92.6
20,KS,2024-01-27,59.04,76.14,85.52,12.27,58.2425
20,KS,2024-02-03,65.7,65.42,8.7,8.8,37.155
20,KS,2024-02-10,8.74,88.94,109.26,132.66,84.9
20,KS,2024-02-17,70.88,81.79,90.04,86.74,82.36250000000001
20,KS,2024-02-24,28.05,24.71,17.11,33.35,25.805
20,KS,2024-03-02,25.44,20.54,35.74,30.74,28.115
20,KS,2024-03-09,10.14,9.38,6.23,10.77,9.13
20,KS,2024-03-16,9.68,6.22,12.99,16.51,11.350000000000001
20,KS,2024-03-23,8.26,18.47,25.65,6.69,14.767499999999998
20,KS,2024-03-30,9.26,10.64,4.26,6.39,7.637499999999999
