state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
21,KY,2023-10-14,1.84,2.93,1.82,8.18
21,KY,2023-10-21,4.69,1.35,7.27,2.62
21,KY,2023-10-28,3.21,9.32,2.51,9.82
21,KY,2023-11-04,6.15,2.86,6.89,25.32
21,KY,2023-11-11,3.32,10.29,27.34,15.32
21,KY,2023-11-18,4.06,21.47,9.42,42.29
21,KY,2023-11-25,22.79,12.09,45.79,92.74
21,KY,2023-12-02,15.92,52.24,99.15,222.12
21,KY,2023-12-09,44.37,91.43,211.31,246.67
21,KY,2023-12-16,39.73,129.42,123.06,20.19
21,KY,2023-12-23,69.38,43.48,34.12,146.74
21,KY,2023-12-30,13.69,103.0,262.9,351.44
21,KY,2024-01-06,132.58,311.13,418.67,642.15
21,KY,2024-01-13,173.4,233.4,397.11,508.48
21,KY,2024-01-27,10.76,66.51,73.77,83.87
21,KY,2024-02-03,76.46,105.83,118.95,149.36
21,KY,2024-02-10,28.06,34.91,52.48,9.22
21,KY,2024-02-17,16.59,31.33,28.94,80.35
21,KY,2024-02-24,21.05,39.08,90.29,101.92
21,KY,2024-03-02,42.62,91.08,103.29,110.92
21,KY,2024-03-09,85.32,97.66,104.37,121.76
21,KY,2024-03-16,70.36,75.54,89.32,119.12
21,KY,2024-03-23,79.36,93.54,124.32,139.12
21,KY,2024-03-30,31.2,61.36,72.96,88.4
