,state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
0,25,MA,2023-10-14,1.57,5.45,1.48,2.16
1,25,MA,2023-10-21,4.41,0.98,6.62,2.61
2,25,MA,2023-10-28,3.67,2.53,7.44,5.45
3,25,MA,2023-11-11,1.89,1.99,4.97,29.88
4,25,MA,2023-11-18,1.91,8.42,31.72,52.88
5,25,MA,2023-11-25,5.68,30.43,46.83,98.79
6,25,MA,2023-12-02,21.97,35.17,85.51,160.29
7,25,MA,2023-12-09,6.75,13.26,28.67,71.09
8,25,MA,2023-12-16,37.45,90.33,217.76,253.6
9,25,MA,2023-12-23,12.0,67.41,42.35,31.74
10,25,MA,2023-12-30,25.83,102.65,293.97,623.16
11,25,MA,2024-01-06,189.69,432.65,850.62,1508.96
12,25,MA,2024-01-13,410.19,808.34,1457.52,2261.34
13,25,MA,2024-01-20,438.24,897.47,1421.95,2148.03
14,25,MA,2024-02-03,89.58,166.08,298.85,334.49
15,25,MA,2024-02-10,75.4,201.38,248.47,308.58
16,25,MA,2024-02-17,134.92,168.6,237.19,199.68
17,25,MA,2024-02-24,50.99,70.23,40.61,39.14
18,25,MA,2024-03-02,135.39,88.77,84.59,60.61
19,25,MA,2024-03-09,68.98,70.54,43.57,19.77
20,25,MA,2024-03-16,18.71,49.15,111.56,115.51
21,25,MA,2024-03-23,21.91,73.91,74.58,100.9
22,25,MA,2024-03-30,86.58,84.91,110.58,130.9
23,25,MA,2024-04-06,14.8,25.35,38.01,81.14
