state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
24,MD,2023-10-14,0.82,3.2,11.15,15.18
24,MD,2023-10-21,7.89,10.07,15.07,23.19
24,MD,2023-10-28,12.89,14.07,23.07,18.19
24,MD,2023-11-04,9.28,16.75,11.83,49.41
24,MD,2023-11-11,17.28,11.75,49.83,67.41
24,MD,2023-11-18,6.05,45.06,58.02,98.87
24,MD,2023-11-25,39.4,56.59,92.79,176.65
24,MD,2023-12-02,22.52,33.54,93.81,159.63
24,MD,2023-12-09,26.83,78.98,140.18,65.11
24,MD,2023-12-16,77.2,142.92,63.13,46.58
24,MD,2023-12-23,32.82,42.73,279.79,559.73
24,MD,2023-12-30,81.04,349.5,673.22,1101.66
24,MD,2024-01-06,251.25,519.46,868.59,1382.02
24,MD,2024-01-13,270.72,480.01,804.31,1178.89
24,MD,2024-01-27,5.53,32.64,69.64,83.25
24,MD,2024-02-03,30.34,70.68,81.81,153.28
24,MD,2024-02-10,57.32,71.96,142.7,154.56
24,MD,2024-02-17,46.88,121.3,134.29,82.02
24,MD,2024-02-24,98.06,112.75,64.73,30.9
24,MD,2024-03-02,97.06,51.75,25.73,31.9
24,MD,2024-03-09,11.09,9.61,7.82,10.68
24,MD,2024-03-16,9.79,6.05,7.81,9.11
24,MD,2024-03-23,9.35,7.43,12.89,20.3
24,MD,2024-03-30,11.65,5.42,8.49,21.18
