state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
23,ME,2023-10-14,1.17,2.16,0.47,2.16
23,ME,2023-10-21,2.68,0.81,2.98,0.77
23,ME,2023-10-28,0.36,1.06,1.19,5.1
23,ME,2023-11-04,0.78,0.54,4.23,4.23
23,ME,2023-11-11,0.61,5.51,4.23,10.23
23,ME,2023-11-18,5.02,3.24,10.52,11.24
23,ME,2023-11-25,3.17,6.37,10.24,5.88
23,ME,2023-12-02,2.1,2.42,5.88,7.25
23,ME,2023-12-09,5.22,2.14,21.93,20.17
23,ME,2023-12-16,2.36,12.33,11.69,6.2
23,ME,2023-12-23,12.71,9.83,5.11,22.99
23,ME,2023-12-30,3.16,25.4,56.77,98.33
23,ME,2024-01-06,26.15,62.24,109.42,133.12
23,ME,2024-01-13,23.86,50.63,56.71,87.01
23,ME,2024-01-27,11.25,28.57,37.47,28.57
23,ME,2024-02-03,8.21,12.16,8.18,8.52
23,ME,2024-02-10,8.03,5.33,8.46,14.17
23,ME,2024-02-17,6.74,13.05,22.28,35.7
23,ME,2024-02-24,6.99,16.07,29.64,32.48
23,ME,2024-03-02,17.46,32.69,36.64,35.48
23,ME,2024-03-09,12.71,13.82,11.64,7.71
23,ME,2024-03-16,6.16,4.66,2.56,3.69
23,ME,2024-03-23,8.49,4.18,6.87,3.21
23,ME,2024-03-30,2.14,2.14,2.9,2.24
