state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
26,MI,2023-10-14,3.43,2.14,11.53,4.15
26,MI,2023-10-21,7.08,6.53,2.84,19.28
26,MI,2023-10-28,8.78,3.02,24.1,55.28
26,MI,2023-11-04,5.37,20.5,55.65,70.46
26,MI,2023-11-11,26.38,56.5,73.65,133.46
26,MI,2023-11-18,43.4,57.43,110.8,172.59
26,MI,2023-11-25,50.0,105.13,162.97,157.67
26,MI,2023-12-02,28.56,33.04,23.24,57.11
26,MI,2023-12-09,34.1,22.67,71.0,83.97
26,MI,2023-12-16,9.14,115.96,61.6,328.49
26,MI,2023-12-23,30.05,145.13,488.6,907.52
26,MI,2023-12-30,186.32,543.82,961.11,1448.83
26,MI,2024-01-06,406.81,760.48,1163.74,1674.21
26,MI,2024-01-13,465.25,737.31,1058.4,1453.49
26,MI,2024-01-27,85.55,297.87,399.77,603.3
26,MI,2024-02-03,177.56,275.27,453.58,518.9
26,MI,2024-02-10,174.74,340.92,399.86,283.36
26,MI,2024-02-17,273.98,332.87,214.55,44.02
26,MI,2024-02-24,300.26,182.94,34.31,29.15
26,MI,2024-03-02,180.26,34.59,28.94,28.93
26,MI,2024-03-09,254.53,358.27,448.09,583.73
26,MI,2024-03-16,0.0,0.0,0.0,0.0
26,MI,2024-03-23,220.35,331.83,488.92,679.21
26,MI,2024-03-30,81.76,163.36,283.04,300.65
