state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
27,MN,2023-10-14,3.43,1.24,1.27,2.85
27,MN,2023-10-21,1.37,0.87,2.42,11.19
27,MN,2023-10-28,1.37,3.54,10.87,8.19
27,MN,2023-11-11,10.76,5.13,13.33,22.77
27,MN,2023-11-18,7.94,13.19,23.2,36.77
27,MN,2023-11-25,4.05,12.19,17.84,41.92
27,MN,2023-12-02,13.15,21.29,45.91,62.9
27,MN,2023-12-09,2.42,4.75,8.17,15.15
27,MN,2023-12-16,16.19,20.58,55.35,10.29
27,MN,2023-12-23,23.4,60.31,6.71,41.94
27,MN,2023-12-30,11.54,62.36,189.52,407.06
27,MN,2024-01-06,78.38,206.72,424.99,665.68
27,MN,2024-01-13,130.47,303.79,478.02,752.73
27,MN,2024-01-20,148.8,232.64,383.89,577.06
27,MN,2024-02-03,26.91,58.92,89.05,96.86
27,MN,2024-02-10,26.86,43.63,41.8,70.63
27,MN,2024-02-17,29.08,30.28,64.38,68.55
27,MN,2024-02-24,8.35,28.46,27.95,21.15
27,MN,2024-03-02,17.7,16.4,8.13,10.32
27,MN,2024-03-09,11.81,10.13,11.83,13.84
27,MN,2024-03-16,4.83,13.36,18.01,24.65
27,MN,2024-03-23,16.47,22.29,30.64,64.07
27,MN,2024-03-30,23.91,33.94,63.64,90.07
27,MN,2024-04-06,21.47,56.08,80.59,92.28
