state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
29,MO,2023-10-14,7.42,1.93,1.49,4.62
29,MO,2023-10-21,1.88,1.57,2.77,16.79
29,MO,2023-10-28,1.88,5.67,13.93,16.79
29,MO,2023-11-11,13.52,17.26,30.99,53.35
29,MO,2023-11-18,13.52,35.26,57.99,108.35
29,MO,2023-11-25,20.88,43.91,97.05,109.55
29,MO,2023-12-02,39.24,88.05,98.34,164.43
29,MO,2023-12-09,38.24,14.18,22.77,63.55
29,MO,2023-12-16,27.82,53.95,135.59,42.04
29,MO,2023-12-23,23.0,80.74,16.9,104.17
29,MO,2023-12-30,40.59,39.33,195.76,430.79
29,MO,2024-01-06,68.11,250.37,507.83,780.09
29,MO,2024-01-13,177.91,405.39,648.59,947.94
29,MO,2024-01-20,254.17,419.66,625.63,895.89
29,MO,2024-02-03,69.24,159.27,209.33,341.72
29,MO,2024-02-10,91.11,134.98,265.27,278.22
29,MO,2024-02-17,65.74,184.8,188.42,168.51
29,MO,2024-02-24,125.19,114.71,81.75,13.19
29,MO,2024-03-02,79.12,50.96,21.98,106.3
29,MO,2024-03-09,50.88,23.36,106.08,105.3
29,MO,2024-03-16,45.64,137.72,133.3,180.72
29,MO,2024-03-23,126.43,121.52,169.7,207.16
29,MO,2024-03-30,125.43,166.52,209.7,237.16
29,MO,2024-04-06,43.03,69.45,83.82,90.36
