state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
37,NC,2023-10-14,1.3,2.3,1.44,16.51
37,NC,2023-10-21,2.18,1.72,10.89,14.34
37,NC,2023-10-28,1.59,11.32,18.95,52.47
37,NC,2023-11-11,21.96,57.34,118.49,171.1
37,NC,2023-11-18,60.96,122.34,178.49,271.1
37,NC,2023-11-25,99.84,149.75,243.03,320.34
37,NC,2023-12-02,122.22,203.86,269.88,575.65
37,NC,2023-12-09,44.1,21.25,82.51,97.24
37,NC,2023-12-16,29.1,116.6,144.28,332.37
37,NC,2023-12-23,175.36,229.28,266.46,1029.32
37,NC,2023-12-30,26.02,611.23,1506.59,2560.14
37,NC,2024-01-06,658.01,1559.34,2569.02,3580.86
37,NC,2024-01-13,928.89,1698.84,2457.02,3458.36
37,NC,2024-01-20,863.66,1270.39,1835.17,2491.2
37,NC,2024-02-03,32.88,21.45,56.56,76.57
37,NC,2024-02-10,15.45,46.04,61.86,87.01
37,NC,2024-02-17,47.62,48.98,85.21,78.27
37,NC,2024-02-24,45.53,75.41,66.7,43.37
37,NC,2024-03-02,58.87,48.27,39.43,32.57
37,NC,2024-03-09,38.18,20.19,31.3,36.27
37,NC,2024-03-16,13.63,12.46,22.95,21.71
37,NC,2024-03-23,11.68,16.92,16.39,9.18
37,NC,2024-03-30,13.92,11.54,8.06,8.12
37,NC,2024-04-06,16.48,9.32,7.43,9.88
