state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
38,ND,2023-10-14,0.65,0.95,0.0,1.95,0.8875
38,ND,2023-10-21,10.45,15.59,16.03,20.79,15.715
38,ND,2023-10-28,10.5,16.02,18.42,19.62,16.14
38,ND,2023-11-04,0.66,4.45,1.16,15.65,5.48
38,ND,2023-11-11,5.56,1.45,13.87,9.65,7.6325
38,ND,2023-11-18,0.46,9.54,6.85,6.34,5.7975
38,ND,2023-11-25,12.52,6.43,7.48,18.71,11.285
38,ND,2023-12-02,2.11,8.09,21.62,48.86,20.17
38,ND,2023-12-09,2.4,3.09,3.91,12.04,5.359999999999999
38,ND,2023-12-16,3.18,14.94,7.75,13.07,9.735
38,ND,2023-12-23,14.58,5.66,16.2,25.6,15.51
38,ND,2023-12-30,3.91,24.82,40.7,65.52,33.7375
38,ND,2024-01-06,27.55,44.39,67.45,121.18,65.1425
38,ND,2024-01-13,22.41,40.0,77.19,126.12,66.43
38,ND,2024-01-27,2.47,3.5,5.48,3.56,3.7525000000000004
38,ND,2024-02-03,1.96,3.09,4.27,6.19,3.8775000000000004
38,ND,2024-02-10,6.1,2.82,7.56,9.14,6.405
38,ND,2024-02-17,3.5,4.21,6.11,17.09,7.7275
38,ND,2024-02-24,3.25,0.93,9.8,5.56,4.885
38,ND,2024-03-02,3.73,4.34,2.25,16.56,6.72
38,ND,2024-03-09,6.54,3.58,14.99,4.48,7.3975
38,ND,2024-03-16,3.76,14.41,5.32,4.81,7.075
38,ND,2024-03-23,13.67,3.33,3.84,3.33,6.0425
38,ND,2024-03-30,1.53,2.76,1.43,5.53,2.8125
