state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
31,NE,2023-10-14,4.34,4.87,1.45,1.45
31,NE,2023-10-21,0.9,3.16,3.62,4.82
31,NE,2023-10-28,1.08,3.16,4.33,2.42
31,NE,2023-11-04,3.1,6.56,4.94,7.38
31,NE,2023-11-11,4.04,2.77,4.94,4.39
31,NE,2023-11-18,1.28,1.51,1.67,2.82
31,NE,2023-11-25,1.46,2.38,2.38,38.71
31,NE,2023-12-02,2.27,6.04,44.93,39.47
31,NE,2023-12-09,3.95,43.7,41.7,42.56
31,NE,2023-12-16,40.97,38.42,37.95,41.75
31,NE,2023-12-23,22.57,17.73,15.19,3.02
31,NE,2023-12-30,6.52,14.66,52.03,68.75
31,NE,2024-01-06,13.22,53.21,69.68,106.03
31,NE,2024-01-13,26.38,32.88,54.39,70.57
31,NE,2024-01-27,6.56,10.85,15.9,45.89
31,NE,2024-02-03,10.17,12.08,45.84,58.05
31,NE,2024-02-10,5.45,33.88,41.2,37.77
31,NE,2024-02-17,30.95,41.37,35.59,13.87
31,NE,2024-02-24,33.79,24.18,6.64,2.14
31,NE,2024-03-02,27.79,4.85,2.09,5.82
31,NE,2024-03-09,11.46,21.44,37.61,37.04
31,NE,2024-03-16,18.65,32.93,32.69,46.7
31,NE,2024-03-23,28.65,28.93,41.69,65.7
31,NE,2024-03-30,12.08,23.53,42.56,54.48
