,state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
0,33,NH,2023-10-14,0.21,0.94,0.37,0.37
1,33,NH,2023-10-21,0.55,0.53,0.6,0.6
2,33,NH,2023-10-28,0.25,0.53,0.6,0.39
3,33,NH,2023-11-11,0.36,0.84,0.52,1.79
4,33,NH,2023-11-18,1.02,0.52,2.4,6.02
5,33,NH,2023-11-25,0.39,2.41,7.14,15.37
6,33,NH,2023-12-02,1.05,5.81,14.81,20.81
7,33,NH,2023-12-09,5.84,16.19,22.26,48.93
8,33,NH,2023-12-16,2.2,3.17,12.72,7.78
9,33,NH,2023-12-23,3.25,6.6,11.49,32.59
10,33,NH,2023-12-30,5.44,33.45,91.08,193.96
11,33,NH,2024-01-06,38.11,107.31,228.09,415.32
12,33,NH,2024-01-13,39.18,104.27,189.19,337.66
13,33,NH,2024-01-20,40.01,71.52,122.69,164.6
14,33,NH,2024-02-03,10.84,32.88,34.09,40.94
15,33,NH,2024-02-10,22.8,27.29,32.5,27.32
16,33,NH,2024-02-17,11.89,14.02,10.82,22.58
17,33,NH,2024-02-24,4.39,4.53,5.86,7.93
18,33,NH,2024-03-02,3.27,3.86,4.82,2.56
19,33,NH,2024-03-09,2.7,4.51,1.66,2.87
20,33,NH,2024-03-16,5.41,1.53,2.86,2.44
21,33,NH,2024-03-23,2.41,7.13,5.93,10.28
22,33,NH,2024-03-30,7.7,6.4,11.4,14.96
23,33,NH,2024-04-06,2.95,8.31,8.55,7.16
