state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
34,NJ,2023-10-14,12.71,19.48,5.09,18.84,14.030000000000001
34,NJ,2023-10-21,19.38,3.09,24.57,8.03,13.7675
34,NJ,2023-10-28,2.95,21.42,11.57,50.03,21.4925
34,NJ,2023-11-04,10.45,3.4,27.66,83.36,31.2175
34,NJ,2023-11-11,3.39,34.35,81.52,114.36,58.405
34,NJ,2023-11-18,32.08,84.42,100.72,250.1,116.83
34,NJ,2023-11-25,80.08,102.5,240.05,422.02,211.1625
34,NJ,2023-12-02,26.49,56.47,123.82,261.7,117.11999999999999
34,NJ,2023-12-09,58.71,78.88,86.7,151.13,93.855
34,NJ,2023-12-16,107.21,106.72,126.08,650.46,247.6175
34,NJ,2023-12-23,29.77,457.72,1225.41,2357.2,1017.525
34,NJ,2023-12-30,437.48,1179.02,2275.14,3832.0,1930.9099999999999
34,NJ,2024-01-06,662.07,1415.29,2383.89,3681.52,2035.6925
34,NJ,2024-01-13,581.93,1082.66,1650.48,2382.06,1424.2825
34,NJ,2024-01-27,18.81,19.53,51.24,27.82,29.35
34,NJ,2024-02-03,28.16,112.54,76.34,150.54,91.89500000000001
34,NJ,2024-02-10,82.95,45.6,119.02,76.23,80.95
34,NJ,2024-02-17,13.07,73.5,31.88,15.34,33.4475
34,NJ,2024-02-24,86.36,49.26,28.44,15.49,44.8875
34,NJ,2024-03-02,22.45,11.35,7.15,20.05,15.25
34,NJ,2024-03-09,10.1,16.14,7.52,7.8,10.39
34,NJ,2024-03-16,15.24,8.32,8.52,12.66,11.184999999999999
34,NJ,2024-03-23,12.77,10.5,23.66,25.6,18.1325
34,NJ,2024-03-30,7.19,11.34,11.44,18.09,12.015
