state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
32,NV,2023-10-14,1.96,3.78,7.91,18.3
32,NV,2023-10-21,3.0,7.46,16.5,23.86
32,NV,2023-10-28,8.0,16.46,24.5,32.86
32,NV,2023-11-04,12.94,18.34,27.75,33.52
32,NV,2023-11-11,20.94,27.34,35.75,63.52
32,NV,2023-11-18,18.36,24.63,49.58,86.72
32,NV,2023-11-25,12.55,38.13,67.96,99.13
32,NV,2023-12-02,77.0,118.0,158.0,164.0
32,NV,2023-12-09,118.0,158.0,164.0,143.0
32,NV,2023-12-16,158.0,164.0,143.0,151.0
32,NV,2023-12-23,164.0,143.0,151.0,84.0
32,NV,2023-12-30,143.0,151.0,84.0,69.0
32,NV,2024-01-06,151.0,84.0,69.0,58.0
32,NV,2024-01-13,84.0,69.0,58.0,35.0
32,NV,2024-01-27,6.71,11.34,5.03,6.76
32,NV,2024-02-03,6.3,11.11,12.11,27.52
32,NV,2024-02-10,19.67,18.66,35.19,31.8
32,NV,2024-02-17,12.81,23.29,27.64,27.64
32,NV,2024-02-24,22.15,30.1,29.07,26.19
32,NV,2024-03-02,16.15,25.1,32.07,11.19
32,NV,2024-03-09,10.88,23.42,11.69,22.88
32,NV,2024-03-16,14.95,3.95,14.48,6.38
32,NV,2024-03-23,3.04,11.65,4.43,8.35
32,NV,2024-03-30,10.87,2.39,14.55,8.92
