state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
36,NY,2023-10-14,3.51,7.76,6.33,40.89,14.6225
36,NY,2023-10-21,16.16,13.02,43.17,78.34,37.6725
36,NY,2023-10-28,25.16,44.02,78.17,133.34,70.17250000000001
36,NY,2023-11-04,37.56,68.0,120.38,279.35,126.3225
36,NY,2023-11-11,72.56,123.0,287.38,443.35,231.5725
36,NY,2023-11-18,102.87,259.48,409.59,648.09,355.00750000000005
36,NY,2023-11-25,229.19,383.13,598.77,771.81,495.72499999999997
36,NY,2023-12-02,107.28,85.74,61.29,206.26,115.14249999999998
36,NY,2023-12-09,101.45,36.27,170.11,980.12,321.9875
36,NY,2023-12-16,82.2,46.91,445.17,1521.72,524.0
36,NY,2023-12-23,144.46,925.69,2218.04,3847.99,1784.045
36,NY,2023-12-30,660.22,1802.99,3232.2,4904.34,2649.9375
36,NY,2024-01-06,1208.8,2310.8,3521.42,5322.02,3090.76
36,NY,2024-01-13,1139.84,1800.81,2928.86,4239.73,2527.31
36,NY,2024-01-27,50.95,76.52,229.48,312.36,167.3275
36,NY,2024-02-03,63.31,229.99,307.17,343.06,235.8825
36,NY,2024-02-10,109.2,190.47,219.88,94.55,153.52499999999998
36,NY,2024-02-17,147.56,175.55,55.94,21.93,100.245
36,NY,2024-02-24,87.75,17.8,78.41,94.19,69.5375
36,NY,2024-03-02,24.39,121.28,135.41,59.19,85.06750000000001
36,NY,2024-03-09,112.58,133.57,63.22,28.26,84.4075
36,NY,2024-03-16,100.44,34.82,18.21,20.44,43.4775
36,NY,2024-03-23,65.44,25.42,31.54,141.26,65.91499999999999
36,NY,2024-03-30,22.87,15.55,68.83,97.96,51.302499999999995
