state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
40,OK,2023-10-14,1.32,5.6,4.85,3.19,3.7399999999999998
40,OK,2023-10-21,6.23,5.6,2.7,1.79,4.08
40,OK,2023-10-28,1.13,3.79,3.94,1.21,2.5175
40,OK,2023-11-04,11.13,14.93,4.93,44.8,18.947499999999998
40,OK,2023-11-11,13.44,11.93,37.29,34.8,24.365
40,OK,2023-11-18,4.82,36.13,21.49,47.81,27.5625
40,OK,2023-11-25,26.06,19.36,35.1,110.26,47.69500000000001
40,OK,2023-12-02,9.17,21.53,74.11,41.48,36.5725
40,OK,2023-12-09,6.64,43.55,11.46,16.19,19.46
40,OK,2023-12-16,47.26,10.09,13.11,16.49,21.737499999999997
40,OK,2023-12-23,21.99,31.8,50.98,93.03,49.45
40,OK,2023-12-30,14.27,25.36,49.85,53.75,35.8075
40,OK,2024-01-06,14.1,34.66,29.87,48.89,31.88
40,OK,2024-01-13,26.86,16.39,32.47,98.36,43.519999999999996
40,OK,2024-01-27,27.61,22.76,47.68,298.8,99.2125
40,OK,2024-02-03,7.87,125.32,413.84,470.96,254.4975
40,OK,2024-02-10,134.51,427.3,482.02,537.24,395.2675
40,OK,2024-02-17,282.98,297.71,315.09,365.98,315.44
40,OK,2024-02-24,95.71,61.54,72.34,85.28,78.7175
40,OK,2024-03-02,93.71,103.54,117.34,88.28,100.7175
40,OK,2024-03-09,11.69,13.54,9.02,8.36,10.6525
40,OK,2024-03-16,9.81,6.75,6.84,9.42,8.205
40,OK,2024-03-23,10.99,13.06,21.83,11.78,14.415
40,OK,2024-03-30,4.8,8.84,3.45,3.31,5.1
