state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
41,OR,2023-10-14,3.73,8.4,0.64,2.14
41,OR,2023-10-21,3.95,3.34,0.81,2.59
41,OR,2023-10-28,0.95,0.68,4.7,1.12
41,OR,2023-11-04,1.97,1.28,4.67,1.83
41,OR,2023-11-11,1.68,2.65,1.53,16.25
41,OR,2023-11-18,1.5,1.22,20.46,21.74
41,OR,2023-11-25,2.86,23.57,24.33,80.07
41,OR,2023-12-02,22.71,22.3,77.36,116.88
41,OR,2023-12-09,10.04,50.77,74.91,47.41
41,OR,2023-12-16,44.94,64.2,32.23,10.87
41,OR,2023-12-23,26.78,9.11,83.41,201.28
41,OR,2023-12-30,48.19,172.53,344.94,542.8
41,OR,2024-01-06,107.62,242.33,382.59,623.42
41,OR,2024-01-13,115.17,176.81,302.82,454.31
41,OR,2024-01-27,12.6,28.57,16.17,51.68
41,OR,2024-02-03,16.9,2.96,37.81,28.83
41,OR,2024-02-10,3.16,22.8,13.39,23.15
41,OR,2024-02-17,20.81,18.23,25.32,22.14
41,OR,2024-02-24,10.39,19.29,14.77,47.61
41,OR,2024-03-02,13.0,9.53,42.99,15.28
41,OR,2024-03-09,2.78,35.67,6.49,2.64
41,OR,2024-03-16,29.4,4.22,2.09,9.74
41,OR,2024-03-23,2.83,3.54,11.64,10.57
41,OR,2024-03-30,5.11,17.15,14.25,9.74
