state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
42,PA,2023-10-14,7.62,7.7,4.12,11.77
42,PA,2023-10-21,4.43,1.59,7.44,25.74
42,PA,2023-10-28,1.43,8.12,26.6,32.74
42,PA,2023-11-11,30.49,35.92,68.41,167.58
42,PA,2023-11-18,37.49,71.92,160.41,234.58
42,PA,2023-11-25,56.26,145.31,209.68,322.65
42,PA,2023-12-02,132.3,200.19,302.76,613.0
42,PA,2023-12-09,68.81,87.38,250.89,381.51
42,PA,2023-12-16,58.56,193.82,267.18,137.52
42,PA,2023-12-23,241.77,365.25,45.96,421.45
42,PA,2023-12-30,46.4,503.78,1223.05,2079.97
42,PA,2024-01-06,543.77,1292.22,2178.93,3253.86
42,PA,2024-01-13,795.11,1448.47,2199.53,3032.5
42,PA,2024-01-20,759.75,1213.84,1681.79,2318.64
42,PA,2024-02-03,166.16,209.29,331.14,370.97
42,PA,2024-02-10,115.72,253.54,301.71,373.77
42,PA,2024-02-17,169.25,218.8,309.41,306.29
42,PA,2024-02-24,131.07,209.28,215.85,102.88
42,PA,2024-03-02,141.47,138.99,50.37,51.17
42,PA,2024-03-09,114.21,35.34,36.03,12.56
42,PA,2024-03-16,18.19,18.29,43.97,36.66
42,PA,2024-03-23,19.06,48.34,41.73,74.83
42,PA,2024-03-30,59.47,54.86,88.68,120.83
42,PA,2024-04-06,24.4,47.97,74.93,96.12
