state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
44,RI,2023-10-14,0.0,1.0,0.0,2.0,0.75
44,RI,2023-10-21,0.49,0.68,0.77,2.16,1.025
44,RI,2023-10-28,0.13,0.58,1.15,1.54,0.85
44,RI,2023-11-04,0.46,0.59,0.67,2.13,0.9625
44,RI,2023-11-11,0.87,1.0,3.1,2.13,1.7750000000000001
44,RI,2023-11-18,0.66,4.07,3.71,22.85,7.822500000000001
44,RI,2023-11-25,2.92,3.31,21.27,14.49,10.4975
44,RI,2023-12-02,5.83,24.0,17.73,46.27,23.457500000000003
44,RI,2023-12-09,23.05,16.48,43.77,43.6,31.725
44,RI,2023-12-16,3.45,7.82,53.42,227.55,73.06
44,RI,2023-12-23,4.65,10.26,60.98,154.73,57.655
44,RI,2023-12-30,65.38,257.59,662.49,1444.71,607.5425
44,RI,2024-01-06,69.39,178.13,409.75,703.68,340.23749999999995
44,RI,2024-01-13,30.06,80.22,152.92,227.25,122.6125
44,RI,2024-01-27,2.14,2.96,22.47,29.37,14.235
44,RI,2024-02-03,5.12,20.05,26.38,20.51,18.015
44,RI,2024-02-10,14.27,27.58,24.8,15.96,20.652499999999996
44,RI,2024-02-17,13.66,10.75,5.91,10.21,10.1325
44,RI,2024-02-24,5.02,3.41,9.68,5.87,5.995
44,RI,2024-03-02,7.12,4.19,16.29,5.87,8.3675
44,RI,2024-03-09,1.41,4.04,1.36,1.82,2.1575
44,RI,2024-03-16,3.3,1.02,1.67,2.47,2.115
44,RI,2024-03-23,3.3,1.19,2.11,3.46,2.5149999999999997
44,RI,2024-03-30,2.36,2.46,2.37,2.41,2.4000000000000004
