,state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
0,45,SC,2023-10-14,2.58,2.67,3.3,5.91
1,45,SC,2023-10-21,3.09,3.09,5.01,2.16
2,45,SC,2023-10-28,3.49,9.69,4.11,16.82
3,45,SC,2023-11-11,7.32,20.3,24.4,74.99
4,45,SC,2023-11-18,23.43,30.13,67.99,102.99
5,45,SC,2023-11-25,12.69,52.7,77.95,156.07
6,45,SC,2023-12-02,47.51,66.31,148.26,271.82
7,45,SC,2023-12-09,5.36,14.36,37.47,56.54
8,45,SC,2023-12-16,36.68,110.55,194.61,43.3
9,45,SC,2023-12-23,78.75,141.54,14.26,219.28
10,45,SC,2023-12-30,10.66,192.43,558.02,983.71
11,45,SC,2024-01-06,280.9,694.54,1189.31,1842.73
12,45,SC,2024-01-13,404.22,758.05,1205.02,1765.67
13,45,SC,2024-01-20,276.44,532.05,832.23,1185.87
14,45,SC,2024-02-03,32.47,52.2,78.46,80.65
15,45,SC,2024-02-10,38.1,59.67,67.03,74.89
16,45,SC,2024-02-17,42.21,47.42,61.83,48.68
17,45,SC,2024-02-24,28.47,44.03,34.13,34.78
18,45,SC,2024-03-02,33.94,30.41,31.17,27.07
19,45,SC,2024-03-09,15.19,22.88,21.05,35.33
20,45,SC,2024-03-16,14.77,13.01,24.66,6.94
21,45,SC,2024-03-23,10.1,21.54,6.87,21.04
22,45,SC,2024-03-30,16.29,4.82,20.13,6.9
23,45,SC,2024-04-06,4.84,20.73,8.85,9.22
