state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
46,SD,2023-10-14,2.0,3.0,1.0,2.0
46,SD,2023-10-21,2.59,0.63,1.29,0.23
46,SD,2023-10-28,0.65,1.37,0.55,0.82
46,SD,2023-11-04,1.03,1.62,0.42,1.49
46,SD,2023-11-11,1.68,0.97,4.67,1.27
46,SD,2023-11-18,0.68,4.05,2.07,8.43
46,SD,2023-11-25,3.07,1.42,7.61,28.9
46,SD,2023-12-02,3.91,10.66,30.66,43.28
46,SD,2023-12-09,1.44,9.18,10.65,8.43
46,SD,2023-12-16,13.32,20.52,13.35,11.46
46,SD,2023-12-23,3.33,26.07,109.45,223.58
46,SD,2023-12-30,25.77,111.94,240.88,432.22
46,SD,2024-01-06,59.15,134.64,226.47,395.54
46,SD,2024-01-13,42.61,66.41,117.95,196.65
46,SD,2024-01-27,5.86,9.37,21.11,37.78
46,SD,2024-02-03,4.43,20.29,36.33,42.21
46,SD,2024-02-10,18.67,31.43,39.22,32.14
46,SD,2024-02-17,28.71,35.91,30.12,36.73
46,SD,2024-02-24,16.57,10.21,18.9,34.85
46,SD,2024-03-02,9.0,15.23,34.9,9.71
46,SD,2024-03-09,7.11,17.05,3.64,4.92
46,SD,2024-03-16,16.88,1.32,2.78,14.24
46,SD,2024-03-23,2.5,2.73,12.64,6.34
46,SD,2024-03-30,2.76,15.75,9.01,15.41
