,state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
0,48,TX,2023-10-14,4.23,24.49,65.93,100.55
1,48,TX,2023-10-21,24.4,56.11,90.92,116.44
2,48,TX,2023-10-28,70.34,98.11,125.92,155.44
3,48,TX,2023-11-11,48.96,60.86,100.11,148.28
4,48,TX,2023-11-18,82.85,110.91,176.11,202.28
5,48,TX,2023-11-25,41.35,70.1,85.41,245.9
6,48,TX,2023-12-02,33.4,38.67,170.02,360.79
7,48,TX,2023-12-09,195.76,249.81,320.17,411.09
8,48,TX,2023-12-16,124.04,126.43,95.71,336.38
9,48,TX,2023-12-23,27.64,73.27,68.29,249.18
10,48,TX,2023-12-30,135.18,428.34,791.09,1400.07
11,48,TX,2024-01-06,484.87,871.93,1492.7,2195.18
12,48,TX,2024-01-13,509.61,1016.12,1553.09,2238.51
13,48,TX,2024-01-20,737.22,1191.36,1764.48,2545.95
14,48,TX,2024-02-03,74.84,150.47,322.87,422.59
15,48,TX,2024-02-10,70.01,197.26,278.29,350.04
16,48,TX,2024-02-17,99.71,168.12,234.98,304.66
17,48,TX,2024-02-24,61.52,106.34,166.21,146.32
18,48,TX,2024-03-02,26.31,41.75,27.04,36.8
19,48,TX,2024-03-09,113.4,76.76,97.11,108.04
20,48,TX,2024-03-16,27.54,18.56,16.53,16.8
21,48,TX,2024-03-23,21.26,15.15,16.06,12.41
22,48,TX,2024-03-30,22.77,16.82,16.4,19.03
23,48,TX,2024-04-06,19.57,13.2,10.03,22.57
