state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
50,VT,2023-10-14,2.0,0.0,0.0,2.0,1.0
50,VT,2023-10-21,0.12,0.16,0.65,3.81,1.185
50,VT,2023-10-28,0.12,0.91,1.86,1.81,1.175
50,VT,2023-11-04,1.19,4.0,1.93,1.25,2.0925
50,VT,2023-11-11,4.19,2.0,1.93,6.2,3.58
50,VT,2023-11-18,0.39,1.99,1.98,2.83,1.7974999999999999
50,VT,2023-11-25,0.99,1.11,1.34,1.63,1.2675
50,VT,2023-12-02,1.75,0.73,0.9,7.23,2.6525
50,VT,2023-12-09,2.56,5.23,7.31,3.71,4.702500000000001
50,VT,2023-12-16,0.88,3.98,1.24,1.93,2.0075000000000003
50,VT,2023-12-23,1.23,3.5,1.66,5.79,3.045
50,VT,2023-12-30,7.35,7.38,16.03,35.73,16.6225
50,VT,2024-01-06,1.39,4.05,16.23,31.21,13.22
50,VT,2024-01-13,1.69,11.96,19.87,31.91,16.3575
50,VT,2024-01-27,9.79,9.83,9.33,9.77,9.68
50,VT,2024-02-03,1.29,1.45,5.19,10.09,4.505
50,VT,2024-02-10,2.48,8.17,14.41,16.71,10.4425
50,VT,2024-02-17,5.47,9.58,11.36,8.72,8.7825
50,VT,2024-02-24,2.83,4.35,3.86,2.17,3.3024999999999998
50,VT,2024-03-02,2.43,2.12,1.37,2.3,2.055
50,VT,2024-03-09,1.56,2.06,2.45,4.88,2.7375
50,VT,2024-03-16,3.58,5.6,9.16,2.95,5.3225
50,VT,2024-03-23,5.71,11.0,3.27,7.45,6.8575
50,VT,2024-03-30,8.28,2.61,6.04,8.8,6.4325
