,state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
0,55,WI,2023-10-14,2.33,1.58,1.58,11.2
1,55,WI,2023-10-21,0.96,1.2,3.87,5.65
2,55,WI,2023-10-28,0.96,4.6,7.71,3.11
3,55,WI,2023-11-11,6.53,3.98,5.88,13.65
4,55,WI,2023-11-18,3.63,9.71,14.03,50.29
5,55,WI,2023-11-25,3.89,7.84,40.01,60.29
6,55,WI,2023-12-02,7.8,36.01,55.0,133.86
7,55,WI,2023-12-09,9.18,7.71,25.71,20.53
8,55,WI,2023-12-16,5.89,32.21,22.17,25.89
9,55,WI,2023-12-23,26.0,16.16,26.57,98.71
10,55,WI,2023-12-30,30.48,141.43,292.66,625.98
11,55,WI,2024-01-06,149.9,308.78,645.32,1076.52
12,55,WI,2024-01-13,137.15,372.4,640.72,940.01
13,55,WI,2024-01-20,228.06,428.43,615.57,849.2
14,55,WI,2024-02-03,55.34,111.46,148.05,145.23
15,55,WI,2024-02-10,81.83,120.21,126.98,155.74
16,55,WI,2024-02-17,91.92,100.49,135.91,158.33
17,55,WI,2024-02-24,30.31,45.97,59.2,64.42
18,55,WI,2024-03-02,48.16,67.9,75.04,41.94
19,55,WI,2024-03-09,54.94,61.9,34.68,18.64
20,55,WI,2024-03-16,19.07,7.0,15.58,11.25
21,55,WI,2024-03-23,9.24,21.4,11.41,47.57
22,55,WI,2024-03-30,25.74,13.41,53.34,71.57
23,55,WI,2024-04-06,7.46,26.25,42.66,54.69
