state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
54,WV,2023-10-14,2.53,2.98,0.89,2.25
54,WV,2023-10-21,2.38,1.36,6.2,0.97
54,WV,2023-10-28,0.73,2.37,1.37,3.31
54,WV,2023-11-04,9.77,1.08,5.85,6.65
54,WV,2023-11-11,3.77,3.34,9.85,9.65
54,WV,2023-11-18,3.04,5.39,5.78,15.96
54,WV,2023-11-25,6.32,6.44,17.51,65.16
54,WV,2023-12-02,4.2,12.9,58.49,125.27
54,WV,2023-12-09,6.41,45.41,106.73,110.29
54,WV,2023-12-16,47.45,107.5,103.71,49.59
54,WV,2023-12-23,49.83,25.8,20.55,71.24
54,WV,2023-12-30,8.47,115.85,229.92,419.09
54,WV,2024-01-06,112.39,233.39,441.94,759.21
54,WV,2024-01-13,81.79,190.22,351.11,559.97
54,WV,2024-01-27,16.02,10.48,26.49,23.4
54,WV,2024-02-03,6.66,52.08,50.44,84.02
54,WV,2024-02-10,51.31,48.53,84.72,69.29
54,WV,2024-02-17,16.94,36.22,22.61,12.64
54,WV,2024-02-24,29.18,15.73,8.32,8.26
54,WV,2024-03-02,10.21,9.42,10.94,9.71
54,WV,2024-03-09,12.47,12.68,11.62,8.34
54,WV,2024-03-16,19.07,18.4,15.56,46.75
54,WV,2024-03-23,27.87,21.14,59.4,55.75
54,WV,2024-03-30,4.96,24.28,22.8,8.56
