state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
56,WY,2023-10-14,2.7,3.44,0.24,0.74
56,WY,2023-10-21,3.38,5.2,4.48,1.89
56,WY,2023-10-28,0.4,4.38,1.95,0.99
56,WY,2023-11-11,2.17,2.13,12.79,15.21
56,WY,2023-11-18,1.88,15.69,13.79,39.21
56,WY,2023-11-25,8.83,11.36,34.46,24.87
56,WY,2023-12-02,12.02,28.09,22.82,2.67
56,WY,2023-12-09,0.0,0.0,0.0,0.0
56,WY,2023-12-16,3.67,28.54,24.9,63.0
56,WY,2023-12-23,28.88,21.5,54.83,156.15
56,WY,2023-12-30,5.5,10.65,58.79,145.63
56,WY,2024-01-06,6.31,42.78,110.67,150.26
56,WY,2024-01-13,48.11,119.39,147.58,205.67
56,WY,2024-01-20,66.39,74.53,105.15,155.97
56,WY,2024-02-03,15.72,8.65,19.74,18.66
56,WY,2024-02-10,4.23,23.89,8.75,12.57
56,WY,2024-02-17,19.63,5.55,4.21,1.84
56,WY,2024-02-24,3.93,1.79,5.95,2.43
56,WY,2024-03-02,1.51,3.04,3.93,6.0
56,WY,2024-03-09,4.43,5.52,7.86,2.32
56,WY,2024-03-16,9.16,9.33,4.02,2.7
56,WY,2024-03-23,3.43,1.12,2.12,0.44
56,WY,2024-03-30,1.27,1.87,2.43,2.84
56,WY,2024-04-06,1.55,1.1,0.81,1.82
