state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
01,AL,2023-10-21,14.17,4.64,15.5,30.52
01,AL,2023-10-28,4.4,16.41,30.46,26.22
01,AL,2023-11-04,99.81,83.05,82.14,140.74
01,AL,2023-11-11,82.81,87.05,70.14,114.74
01,AL,2023-11-18,86.81,75.05,46.23,75.35
01,AL,2023-11-25,74.81,50.36,19.01,13.83
01,AL,2023-12-02,142.17,56.65,41.14,18.21
01,AL,2023-12-09,70.74,188.78,199.41,256.68
01,AL,2023-12-16,52.16,68.31,124.54,17.69
01,AL,2023-12-23,68.94,118.4,27.01,56.22
01,AL,2023-12-30,119.38,24.01,11.36,82.74
01,AL,2024-01-06,24.12,12.7,23.28,122.74
01,AL,2024-01-13,80.87,63.44,68.75,115.08
01,AL,2024-01-20,26.72,57.49,45.41,103.74
01,AL,2024-01-27,57.42,49.53,37.58,136.74
01,AL,2024-02-03,49.38,41.53,66.14,140.74
01,AL,2024-02-10,41.83,10.64,6.49,5.98
01,AL,2024-02-17,15.18,8.82,5.58,6.63
01,AL,2024-02-24,168.17,127.39,90.75,168.08
01,AL,2024-03-02,81.81,79.05,96.14,164.74
01,AL,2024-03-09,78.81,101.05,94.14,186.74
01,AL,2024-03-16,100.81,99.05,116.14,206.74
01,AL,2024-03-23,98.81,121.05,136.14,207.74
01,AL,2024-03-30,214.17,186.39,153.75,211.08
