state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
04,AZ,2023-10-21,1881.53,1377.13,961.05,394.25
04,AZ,2023-10-28,1879.53,1296.13,902.05,373.25
04,AZ,2023-11-04,1198.96,842.47,574.53,175.95
04,AZ,2023-11-11,5419.93,2075.93,806.27,98.76
04,AZ,2023-11-18,569.54,504.74,314.78,48.62
04,AZ,2023-11-25,1836.11,910.81,254.11,343.9
04,AZ,2023-12-02,387.54,181.83,80.78,554.14
04,AZ,2023-12-09,179.97,44.44,223.34,338.14
04,AZ,2023-12-16,45.1,149.35,65.78,136.18
04,AZ,2023-12-23,723.69,377.45,75.38,143.3
04,AZ,2023-12-30,38.8,90.18,59.12,75.1
04,AZ,2024-01-06,2924.02,1025.78,288.12,114.12
04,AZ,2024-01-13,107.36,146.22,348.78,257.83
04,AZ,2024-01-20,221.69,67.41,324.59,212.6
04,AZ,2024-01-27,421.54,595.74,504.78,241.83
04,AZ,2024-02-03,593.54,579.74,504.78,263.83
04,AZ,2024-02-10,577.54,579.74,526.78,319.83
04,AZ,2024-02-17,585.84,510.92,503.4,299.41
04,AZ,2024-02-24,129.9,288.28,378.59,310.6
04,AZ,2024-03-02,5484.93,2153.93,979.27,388.89
04,AZ,2024-03-09,177.9,308.28,415.59,332.6
04,AZ,2024-03-16,3546.02,1628.78,853.12,382.9
04,AZ,2024-03-23,3555.02,1641.78,849.12,389.9
04,AZ,2024-03-30,1246.96,945.47,705.53,348.95
