state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
11,DC,2023-10-21,5.41,7.05,8.53,12.66
11,DC,2023-10-28,5.97,7.05,5.18,10.44
11,DC,2023-11-04,5.97,4.05,3.58,8.22
11,DC,2023-11-11,3.15,2.7,2.75,6.26
11,DC,2023-11-18,2.15,2.31,2.1,3.83
11,DC,2023-11-25,2.1,2.09,3.32,11.31
11,DC,2023-12-02,2.23,4.09,22.1,19.79
11,DC,2023-12-09,5.02,24.79,33.1,18.13
11,DC,2023-12-16,27.28,35.79,31.1,5.87
11,DC,2023-12-23,38.28,33.79,14.14,3.09
11,DC,2023-12-30,36.28,16.22,6.75,3.53
11,DC,2024-01-06,18.28,8.31,3.62,3.83
11,DC,2024-01-13,9.84,4.48,3.32,6.26
11,DC,2024-01-20,5.49,4.09,2.1,4.13
11,DC,2024-01-27,5.02,2.09,3.01,4.53
11,DC,2024-02-03,2.23,3.7,2.79,5.79
11,DC,2024-02-10,4.54,3.31,2.23,5.48
11,DC,2024-02-17,4.06,2.4,13.32,6.26
11,DC,2024-02-24,2.62,15.31,2.1,3.83
11,DC,2024-03-02,17.28,2.09,3.32,4.53
11,DC,2024-03-09,2.23,4.09,2.79,3.09
11,DC,2024-03-16,5.02,3.31,4.58,4.92
11,DC,2024-03-23,4.06,5.7,2.58,6.26
11,DC,2024-03-30,6.89,3.0,2.1,10.44
