state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
13,GA,2023-10-21,193.8,178.97,121.76,26.56
13,GA,2023-10-28,173.8,122.97,104.76,14.43
13,GA,2023-11-04,117.8,105.97,82.1,23.0
13,GA,2023-11-11,100.8,83.32,29.8,47.52
13,GA,2023-11-18,78.41,30.58,15.54,223.56
13,GA,2023-11-25,27.14,15.8,110.02,527.56
13,GA,2023-12-02,14.54,108.45,413.58,918.56
13,GA,2023-12-09,115.01,412.02,804.58,546.56
13,GA,2023-12-16,419.01,803.02,432.58,416.56
13,GA,2023-12-23,810.01,431.02,302.58,281.56
13,GA,2023-12-30,438.01,301.02,167.58,240.56
13,GA,2024-01-06,308.01,166.02,126.58,135.56
13,GA,2024-01-13,173.01,125.02,39.67,89.56
13,GA,2024-01-20,132.01,38.89,17.76,46.04
13,GA,2024-01-27,42.84,17.23,15.97,10.08
13,GA,2024-02-03,19.01,16.23,54.63,12.87
13,GA,2024-02-10,14.88,55.67,44.28,14.43
13,GA,2024-02-17,51.54,45.23,82.1,46.95
13,GA,2024-02-24,41.19,83.32,131.76,69.47
13,GA,2024-03-02,78.41,132.97,155.76,87.47
13,GA,2024-03-09,127.8,156.97,173.76,95.47
13,GA,2024-03-16,151.8,174.97,181.76,97.47
13,GA,2024-03-23,169.8,182.97,183.76,114.47
13,GA,2024-03-30,177.8,184.97,200.76,121.47
