state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
17,IL,2023-10-21,219.19,159.23,105.83,204.08
17,IL,2023-10-28,206.19,139.23,87.83,174.08
17,IL,2023-11-04,186.19,121.23,58.52,111.08
17,IL,2023-11-11,168.19,91.23,15.52,73.69
17,IL,2023-11-18,138.19,36.14,11.52,37.38
17,IL,2023-11-25,76.15,15.45,33.83,88.08
17,IL,2023-12-02,43.89,15.4,232.18,196.64
17,IL,2023-12-09,18.1,189.58,345.18,130.64
17,IL,2023-12-16,128.89,302.58,279.18,29.99
17,IL,2023-12-23,241.89,236.58,148.18,15.69
17,IL,2023-12-30,175.89,105.58,103.18,26.12
17,IL,2024-01-06,55.76,64.84,49.09,27.55
17,IL,2024-01-13,27.45,23.88,46.87,39.99
17,IL,2024-01-20,13.97,22.45,31.22,32.86
17,IL,2024-01-27,14.28,14.36,39.48,17.77
17,IL,2024-02-03,19.32,18.1,69.0,15.25
17,IL,2024-02-10,15.93,38.05,99.18,28.99
17,IL,2024-02-17,14.93,61.53,44.66,35.12
17,IL,2024-02-24,25.54,21.01,36.52,64.6
17,IL,2024-03-02,14.67,16.62,14.35,74.51
17,IL,2024-03-09,16.89,12.79,11.31,94.16
17,IL,2024-03-16,36.62,15.75,10.96,90.51
17,IL,2024-03-23,44.62,25.49,10.52,154.08
17,IL,2024-03-30,61.49,23.23,41.74,190.08
