state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
21,KY,2023-10-21,664.01,437.32,305.05,241.11
21,KY,2023-10-28,666.01,425.32,320.05,222.11
21,KY,2023-11-04,654.01,440.32,301.05,201.11
21,KY,2023-11-11,669.01,421.32,280.05,211.11
21,KY,2023-11-18,650.01,400.32,290.05,172.11
21,KY,2023-11-25,629.01,410.32,251.05,122.11
21,KY,2023-12-02,639.01,371.32,201.05,23.85
21,KY,2023-12-09,600.01,321.32,81.05,14.93
21,KY,2023-12-16,550.01,197.32,54.4,34.67
21,KY,2023-12-23,426.01,162.32,99.18,65.41
21,KY,2023-12-30,391.01,218.32,141.05,26.72
21,KY,2024-01-06,447.01,261.32,86.01,43.54
21,KY,2024-01-13,490.01,203.32,112.05,16.67
21,KY,2024-01-20,432.01,232.32,63.18,17.11
21,KY,2024-01-27,461.01,174.32,64.66,17.32
21,KY,2024-02-03,403.01,176.32,65.4,14.89
21,KY,2024-02-10,405.01,177.32,53.75,67.89
21,KY,2024-02-17,406.01,161.32,144.05,117.11
21,KY,2024-02-24,390.01,264.32,196.05,130.11
21,KY,2024-03-02,493.01,316.32,209.05,139.11
21,KY,2024-03-09,545.01,329.32,218.05,157.11
21,KY,2024-03-16,558.01,338.32,236.05,192.11
21,KY,2024-03-23,567.01,356.32,271.05,212.11
21,KY,2024-03-30,585.01,391.32,291.05,234.11
