state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
25,MA,2023-10-21,43.33,67.52,95.92,72.95
25,MA,2023-10-28,41.33,66.52,95.92,52.95
25,MA,2023-11-04,40.33,66.52,75.92,21.69
25,MA,2023-11-11,40.33,46.52,40.83,8.51
25,MA,2023-11-18,23.03,17.87,20.18,38.17
25,MA,2023-11-25,6.29,7.65,19.05,141.43
25,MA,2023-12-02,13.9,43.56,109.44,319.43
25,MA,2023-12-09,75.98,148.21,287.44,438.43
25,MA,2023-12-16,182.98,326.21,406.44,361.43
25,MA,2023-12-23,360.98,445.21,329.44,233.43
25,MA,2023-12-30,479.98,368.21,201.44,199.43
25,MA,2024-01-06,402.98,240.21,167.44,258.43
25,MA,2024-01-13,274.98,206.21,226.44,222.43
25,MA,2024-01-20,240.98,265.21,190.44,343.43
25,MA,2024-01-27,299.98,229.21,311.44,281.43
25,MA,2024-02-03,263.98,350.21,249.44,342.43
25,MA,2024-02-10,384.98,288.21,310.44,210.43
25,MA,2024-02-17,322.98,349.21,178.44,145.43
25,MA,2024-02-24,383.98,217.21,113.44,79.43
25,MA,2024-03-02,251.98,152.21,50.57,45.6
25,MA,2024-03-09,186.98,86.21,24.22,58.12
25,MA,2024-03-16,120.98,51.35,33.61,21.86
25,MA,2024-03-23,84.98,64.21,10.48,7.64
25,MA,2024-03-30,98.98,25.95,14.96,37.82
