state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
26,MI,2023-10-21,544.47,469.87,435.87,417.9
26,MI,2023-10-28,522.47,473.87,413.87,381.9
26,MI,2023-11-04,526.47,451.87,377.87,363.9
26,MI,2023-11-11,504.47,415.87,359.87,300.9
26,MI,2023-11-18,468.47,397.87,296.87,231.9
26,MI,2023-11-25,450.47,334.87,227.87,224.9
26,MI,2023-12-02,387.47,265.87,220.87,23.25
26,MI,2023-12-09,318.47,258.87,22.79,46.38
26,MI,2023-12-16,311.47,32.0,44.09,108.59
26,MI,2023-12-23,60.43,68.52,105.01,149.9
26,MI,2023-12-30,109.99,139.09,145.87,129.46
26,MI,2024-01-06,190.47,183.87,125.61,67.07
26,MI,2024-01-13,236.47,161.87,64.09,30.25
26,MI,2024-01-20,214.47,92.96,31.53,70.38
26,MI,2024-01-27,138.25,24.22,73.57,211.77
26,MI,2024-02-03,32.91,48.61,217.57,271.77
26,MI,2024-02-10,28.95,172.79,277.57,155.25
26,MI,2024-02-17,118.6,230.0,160.35,22.81
26,MI,2024-02-24,166.69,121.57,22.35,29.77
26,MI,2024-03-02,76.25,28.96,28.27,35.03
26,MI,2024-03-09,54.78,45.05,33.09,73.11
26,MI,2024-03-16,80.6,53.09,69.96,172.9
26,MI,2024-03-23,91.51,99.61,168.87,313.9
26,MI,2024-03-30,146.47,206.87,309.87,352.9
