state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
29,MO,2023-10-21,233.65,265.64,294.48,368.42
29,MO,2023-10-28,226.65,249.64,294.48,350.42
29,MO,2023-11-04,210.65,249.64,276.48,323.42
29,MO,2023-11-11,210.65,231.64,249.48,268.42
29,MO,2023-11-18,192.65,204.64,194.48,254.42
29,MO,2023-11-25,165.65,149.64,180.48,184.42
29,MO,2023-12-02,110.65,135.64,110.57,56.42
29,MO,2023-12-09,96.65,69.73,18.92,73.94
29,MO,2023-12-16,39.0,20.25,25.83,96.68
29,MO,2023-12-23,40.3,15.77,39.53,142.42
29,MO,2023-12-30,26.43,17.9,74.05,136.42
29,MO,2024-01-06,16.48,39.29,69.53,107.59
29,MO,2024-01-13,18.48,35.82,47.4,74.68
29,MO,2024-01-20,16.91,21.34,26.22,67.29
29,MO,2024-01-27,14.35,15.73,22.74,21.38
29,MO,2024-02-03,25.96,16.77,34.14,23.2
29,MO,2024-02-10,31.0,67.21,29.44,35.12
29,MO,2024-02-17,106.39,59.82,18.66,127.68
29,MO,2024-02-24,97.26,36.6,62.87,216.42
29,MO,2024-03-02,67.26,30.82,142.48,215.42
29,MO,2024-03-09,15.13,97.82,141.48,260.42
29,MO,2024-03-16,62.22,96.9,186.48,300.42
29,MO,2024-03-23,61.39,141.64,226.48,330.42
29,MO,2024-03-30,102.65,181.64,256.48,349.42
