state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
28,MS,2023-10-21,9.18,3.31,7.96,14.66
28,MS,2023-10-28,3.97,5.66,13.52,15.49
28,MS,2023-11-04,3.79,10.18,14.26,44.36
28,MS,2023-11-11,6.05,10.84,42.18,38.36
28,MS,2023-11-18,6.53,36.92,36.18,63.36
28,MS,2023-11-25,28.27,30.92,61.18,167.36
28,MS,2023-12-02,22.88,55.92,165.18,267.36
28,MS,2023-12-09,46.84,159.92,265.18,241.36
28,MS,2023-12-16,150.84,259.92,239.18,202.36
28,MS,2023-12-23,250.84,233.92,200.18,133.36
28,MS,2023-12-30,224.84,194.92,131.18,131.36
28,MS,2024-01-06,185.84,125.92,129.18,83.36
28,MS,2024-01-13,116.84,123.92,81.18,56.36
28,MS,2024-01-20,114.84,75.92,54.18,64.36
28,MS,2024-01-27,66.84,48.92,62.18,24.36
28,MS,2024-02-03,39.84,56.92,22.52,41.36
28,MS,2024-02-10,47.84,18.31,39.18,30.36
28,MS,2024-02-17,12.27,33.92,28.18,27.36
28,MS,2024-02-24,25.53,23.44,25.26,16.31
28,MS,2024-03-02,16.53,20.79,15.0,18.88
28,MS,2024-03-09,14.31,11.49,17.39,27.36
28,MS,2024-03-16,7.01,13.71,25.26,8.92
28,MS,2024-03-23,8.53,20.79,7.96,3.14
28,MS,2024-03-30,14.31,5.66,3.05,2.7
