state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
41,OR,2023-10-21,2.07,3.63,2.39,13.32
41,OR,2023-10-28,4.16,2.46,3.0,18.19
41,OR,2023-11-04,2.64,2.98,2.39,13.32
41,OR,2023-11-11,2.73,2.46,3.0,3.84
41,OR,2023-11-18,2.64,2.98,22.21,4.19
41,OR,2023-11-25,2.73,21.33,24.21,48.53
41,OR,2023-12-02,19.94,23.33,82.21,92.53
41,OR,2023-12-09,21.94,81.33,126.21,87.53
41,OR,2023-12-16,79.94,125.33,121.21,60.53
41,OR,2023-12-23,123.94,120.33,94.21,30.62
41,OR,2023-12-30,118.94,93.33,64.21,43.53
41,OR,2024-01-06,91.94,63.33,77.21,29.71
41,OR,2024-01-13,61.94,76.33,63.21,32.53
41,OR,2024-01-20,74.94,62.33,66.21,14.19
41,OR,2024-01-27,60.94,65.33,44.21,34.53
41,OR,2024-02-03,63.94,43.33,68.21,22.58
41,OR,2024-02-10,41.94,67.33,55.21,25.14
41,OR,2024-02-17,65.94,54.33,58.21,16.4
41,OR,2024-02-24,52.94,57.33,47.21,42.53
41,OR,2024-03-02,55.94,46.33,76.21,13.45
41,OR,2024-03-09,44.94,75.33,43.21,6.01
41,OR,2024-03-16,73.94,42.33,30.21,4.71
41,OR,2024-03-23,40.94,29.33,13.17,4.93
41,OR,2024-03-30,27.94,12.29,12.34,4.49
