state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
44,RI,2023-10-21,0.92,0.01,1.66,0.43
44,RI,2023-10-28,0.0,1.83,0.01,1.34
44,RI,2023-11-04,1.83,0.01,2.49,3.82
44,RI,2023-11-11,0.0,2.75,5.23,3.82
44,RI,2023-11-18,2.74,5.48,5.23,21.56
44,RI,2023-11-25,5.66,5.48,23.14,15.56
44,RI,2023-12-02,5.66,23.4,17.14,44.56
44,RI,2023-12-09,23.66,17.4,46.14,45.56
44,RI,2023-12-16,17.66,46.4,47.14,31.56
44,RI,2023-12-23,46.66,47.4,33.14,32.56
44,RI,2023-12-30,47.66,33.4,34.14,24.56
44,RI,2024-01-06,33.66,34.4,26.14,14.56
44,RI,2024-01-13,34.66,26.4,16.14,18.56
44,RI,2024-01-20,26.66,16.4,20.14,27.56
44,RI,2024-01-27,16.66,20.4,29.14,32.56
44,RI,2024-02-03,20.66,29.4,34.14,24.56
44,RI,2024-02-10,29.66,34.4,26.14,21.56
44,RI,2024-02-17,34.66,26.4,23.14,19.56
44,RI,2024-02-24,26.66,23.4,21.14,11.56
44,RI,2024-03-02,23.66,21.4,13.14,11.56
44,RI,2024-03-09,21.66,13.4,13.14,13.56
44,RI,2024-03-16,13.66,13.4,15.14,11.56
44,RI,2024-03-23,13.66,15.4,13.14,8.56
44,RI,2024-03-30,15.66,13.4,10.14,4.65
