state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
45,SC,2023-10-21,24.57,4.73,5.59,214.64
45,SC,2023-10-28,8.14,4.42,11.41,197.64
45,SC,2023-11-04,5.74,7.73,23.55,145.64
45,SC,2023-11-11,5.22,17.94,73.98,101.64
45,SC,2023-11-18,11.01,66.03,117.98,31.68
45,SC,2023-11-25,54.05,110.03,204.98,55.38
45,SC,2023-12-02,98.05,197.03,361.98,270.51
45,SC,2023-12-09,185.05,354.03,589.98,103.16
45,SC,2023-12-16,342.05,582.03,420.98,29.42
45,SC,2023-12-23,570.05,413.03,208.98,82.33
45,SC,2023-12-30,401.05,201.03,137.98,67.99
45,SC,2024-01-06,189.05,130.03,153.98,103.64
45,SC,2024-01-13,118.05,146.03,115.98,146.64
45,SC,2024-01-20,134.05,108.03,72.98,148.64
45,SC,2024-01-27,96.05,65.03,70.98,167.64
45,SC,2024-02-03,53.05,63.03,51.98,171.64
45,SC,2024-02-10,51.05,44.03,47.98,181.64
45,SC,2024-02-17,32.83,40.03,37.98,200.64
45,SC,2024-02-24,29.53,30.81,21.15,211.64
45,SC,2024-03-02,21.7,15.81,13.28,215.64
45,SC,2024-03-09,9.48,9.07,10.85,234.64
45,SC,2024-03-16,5.7,7.33,4.11,214.64
45,SC,2024-03-23,5.09,4.86,11.41,241.64
45,SC,2024-03-30,8.61,7.73,4.59,248.64
