state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
51,VA,2023-10-21,53.4,85.69,66.6,56.47
51,VA,2023-10-28,63.4,45.91,59.03,43.56
51,VA,2023-11-04,27.44,39.3,45.86,23.73
51,VA,2023-11-11,21.96,28.22,25.51,16.43
51,VA,2023-11-18,13.83,13.17,18.03,22.17
51,VA,2023-11-25,8.35,9.69,20.38,192.95
51,VA,2023-12-02,10.87,36.22,189.69,504.95
51,VA,2023-12-09,57.92,217.87,501.69,311.95
51,VA,2023-12-16,246.61,529.87,308.69,166.95
51,VA,2023-12-23,558.61,336.87,163.69,79.65
51,VA,2023-12-30,365.61,191.87,76.47,49.69
51,VA,2024-01-06,220.61,103.87,47.03,9.86
51,VA,2024-01-13,132.61,69.74,10.16,10.43
51,VA,2024-01-20,97.61,13.91,11.08,11.69
51,VA,2024-01-27,27.35,10.74,11.12,13.25
51,VA,2024-02-03,20.44,19.13,12.43,15.73
51,VA,2024-02-10,35.96,22.43,14.47,11.47
51,VA,2024-02-17,40.4,26.65,10.99,15.65
51,VA,2024-02-24,46.01,18.65,17.08,24.95
51,VA,2024-03-02,35.22,9.43,26.82,46.86
51,VA,2024-03-09,11.48,13.96,49.16,16.43
51,VA,2024-03-16,8.27,31.09,18.03,47.69
51,VA,2024-03-23,15.74,9.69,49.99,76.86
51,VA,2024-03-30,10.87,31.82,79.6,97.86
