state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
50,VT,2023-10-21,6.07,7.03,6.63,3.83
50,VT,2023-10-28,6.07,5.73,4.67,5.13
50,VT,2023-11-04,4.94,3.95,5.98,5.13
50,VT,2023-11-11,3.25,5.08,5.98,2.74
50,VT,2023-11-18,4.38,5.08,3.15,2.74
50,VT,2023-11-25,4.38,2.69,3.15,1.87
50,VT,2023-12-02,2.16,2.69,2.37,3.57
50,VT,2023-12-09,2.16,2.16,3.37,2.26
50,VT,2023-12-16,2.16,3.77,2.33,6.39
50,VT,2023-12-23,4.46,2.38,5.67,7.87
50,VT,2023-12-30,2.64,6.43,6.8,4.52
50,VT,2024-01-06,7.46,7.73,3.98,3.09
50,VT,2024-01-13,8.94,4.56,3.06,4.04
50,VT,2024-01-20,5.42,3.38,3.67,4.52
50,VT,2024-01-27,3.99,4.16,3.98,7.87
50,VT,2024-02-03,4.94,4.56,6.8,10.91
50,VT,2024-02-10,5.42,7.73,9.41,10.09
50,VT,2024-02-17,8.94,10.51,8.67,6.39
50,VT,2024-02-24,12.07,9.77,5.67,3.09
50,VT,2024-03-02,11.25,6.43,3.06,2.26
50,VT,2024-03-09,7.46,3.38,2.33,2.43
50,VT,2024-03-16,3.99,2.38,2.93,2.48
50,VT,2024-03-23,2.64,2.56,2.54,2.22
50,VT,2024-03-30,2.12,2.69,2.72,3.35
