state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
1,AL,2023-10-21,14.17,4.64,15.5,30.52,16.2075
1,AL,2023-10-28,4.4,16.41,30.46,26.22,19.372500000000002
1,AL,2023-11-04,99.81,83.05,82.14,140.74,101.435
1,AL,2023-11-11,82.81,87.05,70.14,114.74,88.685
1,AL,2023-11-18,86.81,75.05,46.23,75.35,70.86
1,AL,2023-11-25,74.81,50.36,19.01,13.83,39.502500000000005
1,AL,2023-12-02,142.17,56.65,41.14,18.21,64.54249999999999
1,AL,2023-12-09,70.74,188.78,199.41,256.68,178.90249999999997
1,AL,2023-12-16,52.16,68.31,124.54,17.69,65.675
1,AL,2023-12-23,68.94,118.4,27.01,56.22,67.6425
1,AL,2023-12-30,119.38,24.01,11.36,82.74,59.3725
1,AL,2024-01-06,24.12,12.7,23.28,122.74,45.71
1,AL,2024-01-13,80.87,63.44,68.75,115.08,82.035
1,AL,2024-01-20,26.72,57.49,45.41,103.74,58.34
1,AL,2024-01-27,57.42,49.53,37.58,136.74,70.3175
1,AL,2024-02-03,49.38,41.53,66.14,140.74,74.4475
1,AL,2024-02-10,41.83,10.64,6.49,5.98,16.235
1,AL,2024-02-17,15.18,8.82,5.58,6.63,9.0525
1,AL,2024-02-24,168.17,127.39,90.75,168.08,138.5975
1,AL,2024-03-02,81.81,79.05,96.14,164.74,105.435
1,AL,2024-03-09,78.81,101.05,94.14,186.74,115.185
1,AL,2024-03-16,100.81,99.05,116.14,206.74,130.685
1,AL,2024-03-23,98.81,121.05,136.14,207.74,140.935
1,AL,2024-03-30,214.17,186.39,153.75,211.08,191.3475
