state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
5,AR,2023-10-21,54.18,35.51,21.74,10.71,30.534999999999997
5,AR,2023-10-28,49.18,29.77,27.87,5.15,27.992500000000003
5,AR,2023-11-04,43.18,36.51,19.26,6.49,26.36
5,AR,2023-11-11,50.18,27.03,21.74,3.84,25.6975
5,AR,2023-11-18,40.18,29.77,9.87,8.97,22.1975
5,AR,2023-11-25,43.18,16.25,5.44,46.84,27.927500000000002
5,AR,2023-12-02,27.31,9.21,21.39,137.84,48.9375
5,AR,2023-12-09,18.09,13.86,108.65,184.84,81.36
5,AR,2023-12-16,7.44,96.17,155.65,173.84,108.275
5,AR,2023-12-23,77.74,143.17,144.65,177.84,135.85
5,AR,2023-12-30,124.74,132.17,148.65,226.84,158.1
5,AR,2024-01-06,113.74,136.17,197.65,195.84,160.85
5,AR,2024-01-13,117.74,185.17,166.65,242.84,178.1
5,AR,2024-01-20,166.74,154.17,213.65,208.84,185.85
5,AR,2024-01-27,135.74,201.17,179.65,225.84,185.6
5,AR,2024-02-03,182.74,167.17,196.65,228.84,193.85
5,AR,2024-02-10,148.74,184.17,199.65,197.84,182.6
5,AR,2024-02-17,165.74,187.17,168.65,148.84,167.6
5,AR,2024-02-24,168.74,156.17,119.65,55.84,125.1
5,AR,2024-03-02,137.74,107.17,28.39,32.84,76.535
5,AR,2024-03-09,88.74,19.56,11.91,13.8,33.5025
5,AR,2024-03-16,10.44,7.25,4.78,5.84,7.0775
5,AR,2024-03-23,6.13,6.64,7.18,4.23,6.045
5,AR,2024-03-30,13.7,12.43,16.96,4.23,11.830000000000002
