state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
6,CA,2023-10-21,207.92,201.83,96.5,388.43,223.67000000000002
6,CA,2023-10-28,186.92,79.35,16.85,311.43,148.6375
6,CA,2023-11-04,66.35,16.48,35.24,131.16,62.3075
6,CA,2023-11-11,19.05,47.48,196.89,38.29,75.4275
6,CA,2023-11-18,59.35,220.35,372.89,74.69,181.82
6,CA,2023-11-25,239.44,396.35,561.89,649.64,461.8299999999999
6,CA,2023-12-02,415.44,585.35,1197.89,769.64,742.08
6,CA,2023-12-09,604.44,1221.35,1317.89,437.64,895.33
6,CA,2023-12-16,1240.44,1341.35,985.89,94.43,915.5274999999999
6,CA,2023-12-23,1360.44,1009.35,595.89,102.25,766.9825
6,CA,2023-12-30,1028.44,619.35,607.89,79.82,583.875
6,CA,2024-01-06,638.44,631.35,271.89,231.43,443.2775
6,CA,2024-01-13,650.44,295.35,89.85,337.43,343.26750000000004
6,CA,2024-01-20,314.44,108.79,23.85,420.43,216.8775
6,CA,2024-01-27,125.79,32.52,24.41,448.43,157.7875
6,CA,2024-02-03,41.87,18.05,37.72,479.43,144.2675
6,CA,2024-02-10,15.4,27.0,58.11,541.43,160.48499999999999
6,CA,2024-02-17,20.44,44.09,110.54,559.43,183.625
6,CA,2024-02-24,34.05,92.7,128.54,573.43,207.17999999999998
6,CA,2024-03-02,78.74,109.83,142.54,567.43,224.635
6,CA,2024-03-09,95.18,123.83,136.54,598.43,238.49499999999998
6,CA,2024-03-16,108.92,117.83,167.54,570.43,241.17999999999998
6,CA,2024-03-23,102.92,148.83,139.54,594.43,246.42999999999998
6,CA,2024-03-30,133.92,120.83,163.54,597.43,253.92999999999998
