state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
9,CT,2023-10-21,58.38,67.74,90.57,83.74,75.1075
9,CT,2023-10-28,53.38,74.74,73.57,72.74,68.6075
9,CT,2023-11-04,60.38,57.74,62.57,48.91,57.4
9,CT,2023-11-11,43.38,46.74,39.18,33.91,40.8025
9,CT,2023-11-18,32.73,25.35,25.48,8.69,23.0625
9,CT,2023-11-25,14.29,14.0,7.48,9.95,11.43
9,CT,2023-12-02,6.94,10.87,7.53,38.08,15.855
9,CT,2023-12-09,20.25,9.18,48.18,19.69,24.325
9,CT,2023-12-16,16.99,67.66,27.09,15.34,31.77
9,CT,2023-12-23,87.55,42.31,21.87,7.82,39.8875
9,CT,2023-12-30,60.55,35.7,8.27,13.91,29.607499999999998
9,CT,2024-01-06,52.55,14.53,19.92,11.17,24.5425
9,CT,2024-01-13,25.99,33.22,7.96,9.13,19.074999999999996
9,CT,2024-01-20,49.55,8.05,12.61,8.91,19.779999999999998
9,CT,2024-01-27,14.55,23.05,7.44,23.26,17.075
9,CT,2024-02-03,36.94,10.48,31.53,53.95,33.225
9,CT,2024-02-10,19.6,47.61,65.61,18.56,37.845
9,CT,2024-02-17,66.55,86.66,25.79,16.08,48.769999999999996
9,CT,2024-02-24,106.55,40.66,10.79,27.08,46.269999999999996
9,CT,2024-03-02,58.55,6.7,19.35,22.82,26.854999999999997
9,CT,2024-03-09,9.29,9.87,15.87,23.47,14.624999999999998
9,CT,2024-03-16,5.86,7.96,16.44,44.34,18.650000000000002
9,CT,2024-03-23,6.29,8.27,34.87,48.91,24.584999999999997
9,CT,2024-03-30,6.16,21.66,39.18,42.52,27.380000000000003
