state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
10,DE,2023-10-21,4.91,7.98,10.83,17.31,10.2575
10,DE,2023-10-28,4.91,7.98,10.09,18.31,10.3225
10,DE,2023-11-04,4.91,7.24,10.83,17.31,10.0725
10,DE,2023-11-11,4.34,7.98,10.09,10.53,8.235
10,DE,2023-11-18,4.91,7.24,4.96,5.66,5.6925
10,DE,2023-11-25,4.34,2.98,2.7,3.75,3.4425
10,DE,2023-12-02,1.91,2.72,3.4,19.4,6.8575
10,DE,2023-12-09,4.26,4.89,30.27,10.7,12.530000000000001
10,DE,2023-12-16,8.08,35.93,18.96,4.01,16.745
10,DE,2023-12-23,42.17,23.93,8.18,3.57,19.4625
10,DE,2023-12-30,30.17,11.5,6.96,3.23,12.965
10,DE,2024-01-06,16.34,10.02,4.79,3.53,8.67
10,DE,2024-01-13,14.52,7.24,3.7,3.53,7.2475
10,DE,2024-01-20,11.12,5.46,3.7,4.44,6.18
10,DE,2024-01-27,8.82,5.46,9.57,3.75,6.9
10,DE,2024-02-03,8.82,13.07,3.4,3.79,7.27
10,DE,2024-02-10,18.17,4.89,7.53,3.4,8.4975
10,DE,2024-02-17,8.08,10.76,4.01,5.66,7.1275
10,DE,2024-02-24,15.43,6.02,2.7,6.79,7.734999999999999
10,DE,2024-03-02,9.56,2.72,2.88,7.36,5.63
10,DE,2024-03-09,4.26,2.37,3.01,5.18,3.705
10,DE,2024-03-16,3.3,2.24,2.66,13.01,5.3025
10,DE,2024-03-23,2.91,2.93,6.4,12.18,6.105
10,DE,2024-03-30,4.82,3.98,5.92,17.31,8.0075
