state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
15,HI,2023-10-21,4.56,3.58,3.65,8.56,5.0875
15,HI,2023-10-28,5.13,4.89,12.65,6.6,7.317500000000001
15,HI,2023-11-04,6.61,15.19,10.25,4.82,9.2175
15,HI,2023-11-11,18.22,12.45,8.04,11.52,12.557499999999997
15,HI,2023-11-18,15.22,9.97,16.3,7.26,12.1875
15,HI,2023-11-25,12.39,19.19,10.99,7.91,12.620000000000001
15,HI,2023-12-02,22.22,13.36,11.82,10.78,14.545
15,HI,2023-12-09,16.22,14.28,15.38,17.3,15.795000000000002
15,HI,2023-12-16,17.22,18.19,23.12,5.95,16.12
15,HI,2023-12-23,21.22,26.19,9.52,4.82,15.437499999999998
15,HI,2023-12-30,29.22,11.63,8.04,9.3,14.5475
15,HI,2024-01-06,14.22,9.97,13.56,4.91,10.665
15,HI,2024-01-13,12.39,16.19,2.56,2.47,8.4025
15,HI,2024-01-20,19.22,1.89,4.21,2.6,6.98
15,HI,2024-01-27,1.61,5.54,1.99,2.26,2.85
15,HI,2024-02-03,7.35,2.19,2.69,2.26,3.6224999999999996
15,HI,2024-02-10,2.87,3.58,3.65,2.73,3.2075
15,HI,2024-02-17,5.13,4.89,1.86,2.78,3.6649999999999996
15,HI,2024-02-24,6.61,1.89,4.78,4.34,4.405
15,HI,2024-03-02,2.39,6.19,2.17,3.78,3.6325
15,HI,2024-03-09,8.08,1.67,1.78,2.73,3.565
15,HI,2024-03-16,1.56,1.45,1.86,2.34,1.8025
15,HI,2024-03-23,1.52,1.89,2.25,4.91,2.6425
15,HI,2024-03-30,2.39,2.8,2.56,2.26,2.5025
