state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
19,IA,2023-10-21,9.78,3.66,2.2,21.07
19,IA,2023-10-28,5.78,2.75,2.07,10.85
19,IA,2023-11-04,4.35,2.45,7.25,4.11
19,IA,2023-11-11,3.87,5.62,20.94,4.11
19,IA,2023-11-18,3.83,18.19,20.94,4.11
19,IA,2023-11-25,13.87,18.19,26.94,28.29
19,IA,2023-12-02,13.87,23.75,66.94,36.77
19,IA,2023-12-09,18.74,63.75,75.94,31.94
19,IA,2023-12-16,58.04,72.75,70.94,23.07
19,IA,2023-12-23,67.04,67.75,60.94,32.85
19,IA,2023-12-30,62.04,57.75,71.94,17.07
19,IA,2024-01-06,52.04,68.75,52.94,44.77
19,IA,2024-01-13,63.04,49.75,83.94,49.77
19,IA,2024-01-20,44.04,80.75,88.94,61.77
19,IA,2024-01-27,75.04,85.75,100.94,94.77
19,IA,2024-02-03,80.04,97.75,133.94,117.77
19,IA,2024-02-10,92.04,130.75,156.94,115.77
19,IA,2024-02-17,125.04,153.75,154.94,52.77
19,IA,2024-02-24,148.04,151.75,91.94,31.94
19,IA,2024-03-02,146.04,88.75,70.94,28.29
19,IA,2024-03-09,83.04,67.75,66.94,21.51
19,IA,2024-03-16,62.04,63.75,58.94,8.68
19,IA,2024-03-23,58.04,55.75,39.94,4.85
19,IA,2024-03-30,50.04,36.75,29.94,14.38
