state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
18,IN,2023-10-21,42.45,53.33,62.16,44.12,50.515
18,IN,2023-10-28,36.63,45.33,26.95,46.6,38.877500000000005
18,IN,2023-11-04,29.58,14.72,29.16,12.08,21.384999999999998
18,IN,2023-11-11,7.15,16.42,8.21,9.99,10.4425
18,IN,2023-11-18,7.8,12.59,9.43,26.65,14.1175
18,IN,2023-11-25,24.06,16.51,44.6,93.65,44.705
18,IN,2023-12-02,29.97,64.12,120.47,236.65,112.80250000000001
18,IN,2023-12-09,86.8,143.12,263.47,268.65,190.51
18,IN,2023-12-16,165.8,286.12,295.47,210.65,239.51000000000002
18,IN,2023-12-23,308.8,318.12,237.47,142.65,251.76000000000002
18,IN,2023-12-30,340.8,260.12,169.47,142.65,228.26000000000002
18,IN,2024-01-06,282.8,192.12,169.47,174.65,204.76
18,IN,2024-01-13,214.8,192.12,201.47,178.65,196.76
18,IN,2024-01-20,214.8,224.12,205.47,156.65,200.26
18,IN,2024-01-27,246.8,228.12,183.47,153.65,203.01
18,IN,2024-02-03,250.8,206.12,180.47,130.65,192.01
18,IN,2024-02-10,228.8,203.12,157.47,145.65,183.76
18,IN,2024-02-17,225.8,180.12,172.47,63.86,160.5625
18,IN,2024-02-24,202.8,195.12,89.47,9.6,124.2475
18,IN,2024-03-02,217.8,112.12,10.08,8.95,87.2375
18,IN,2024-03-09,134.8,18.2,12.29,9.08,43.5925
18,IN,2024-03-16,32.19,22.51,11.29,30.69,24.17
18,IN,2024-03-23,37.89,20.55,16.21,74.65,37.325
18,IN,2024-03-30,35.41,8.33,54.16,92.65,47.6375
