state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
20,KS,2023-10-21,139.41,104.62,72.55,26.0,85.645
20,KS,2023-10-28,138.41,100.62,64.55,15.91,79.8725
20,KS,2023-11-04,134.41,92.62,52.55,11.0,72.645
20,KS,2023-11-11,126.41,80.62,45.55,11.0,65.895
20,KS,2023-11-18,114.41,73.62,45.55,7.87,60.3625
20,KS,2023-11-25,107.41,73.62,39.81,19.35,60.0475
20,KS,2023-12-02,107.41,67.62,8.42,20.83,51.06999999999999
20,KS,2023-12-09,101.41,25.1,7.9,20.83,38.81
20,KS,2023-12-16,53.93,23.8,7.9,26.26,27.972500000000004
20,KS,2023-12-23,52.11,23.8,6.73,5.74,22.095
20,KS,2023-12-30,52.11,19.32,21.08,6.35,24.715
20,KS,2024-01-06,45.97,45.15,19.77,81.35,48.06
20,KS,2024-01-13,78.41,43.32,31.64,99.35,63.18
20,KS,2024-01-20,76.41,12.06,46.42,99.35,58.559999999999995
20,KS,2024-01-27,11.76,20.76,46.42,15.65,23.6475
20,KS,2024-02-03,9.41,20.76,10.03,17.13,14.3325
20,KS,2024-02-10,9.41,28.8,9.34,20.09,16.91
20,KS,2024-02-17,58.5,27.32,8.12,28.74,30.669999999999998
20,KS,2024-02-24,56.67,24.45,6.6,5.74,23.365
20,KS,2024-03-02,53.02,17.62,21.08,7.13,24.7125
20,KS,2024-03-09,43.5,45.15,18.47,8.35,28.8675
20,KS,2024-03-16,78.41,41.49,40.73,18.13,44.69
20,KS,2024-03-23,74.41,68.62,55.55,7.39,51.49249999999999
20,KS,2024-03-30,102.41,83.62,38.9,18.13,60.765
