state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
22,LA,2023-10-21,49.56,22.68,6.14,18.41,24.1975
22,LA,2023-10-28,9.03,22.79,45.05,39.75,29.155
22,LA,2023-11-04,32.3,9.72,44.93,39.89,31.709999999999997
22,LA,2023-11-11,31.61,15.07,43.22,74.47,41.0925
22,LA,2023-11-18,7.34,25.72,83.93,96.54,53.38250000000001
22,LA,2023-11-25,7.56,57.81,104.93,224.54,98.71000000000001
22,LA,2023-12-02,122.95,136.09,256.05,301.49,204.145
22,LA,2023-12-09,36.13,206.81,306.93,224.54,193.6025
22,LA,2023-12-16,159.78,280.81,232.93,171.54,211.265
22,LA,2023-12-23,233.78,206.81,179.93,58.54,169.765
22,LA,2023-12-30,159.78,153.81,66.93,47.54,107.01500000000001
22,LA,2024-01-06,122.19,50.8,60.69,39.47,68.2875
22,LA,2024-01-13,12.3,31.9,46.93,19.15,27.57
22,LA,2024-01-20,94.95,78.09,46.05,12.88,57.99250000000001
22,LA,2024-01-27,101.67,13.51,9.11,16.86,35.2875
22,LA,2024-02-03,61.95,42.09,44.05,9.18,39.3175
22,LA,2024-02-10,18.04,9.33,11.75,5.93,11.2625
22,LA,2024-02-17,59.95,35.09,9.96,11.1,29.025
22,LA,2024-02-24,64.68,30.02,14.83,18.26,31.9475
22,LA,2024-03-02,167.67,59.12,20.5,8.82,64.0275
22,LA,2024-03-09,9.03,3.57,6.35,14.92,8.4675
22,LA,2024-03-16,5.16,9.96,3.74,17.88,9.184999999999999
22,LA,2024-03-23,43.11,48.94,48.32,35.76,44.0325
22,LA,2024-03-30,61.56,31.11,18.06,31.06,35.4475
