state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
27,MN,2023-10-21,342.76,250.12,175.31,79.81,212.0
27,MN,2023-10-28,337.76,241.12,178.31,70.81,207.0
27,MN,2023-11-04,328.76,244.12,169.31,60.81,200.75
27,MN,2023-11-11,331.76,235.12,159.31,46.81,193.25
27,MN,2023-11-18,322.76,225.12,145.31,20.28,178.3675
27,MN,2023-11-25,312.76,211.12,115.31,6.46,161.41250000000002
27,MN,2023-12-02,298.76,181.12,83.31,51.37,153.64000000000001
27,MN,2023-12-09,268.76,149.12,21.96,32.89,118.18249999999999
27,MN,2023-12-16,236.76,72.04,34.18,27.55,92.63250000000001
27,MN,2023-12-23,157.76,91.12,39.09,7.2,73.7925
27,MN,2023-12-30,178.76,98.12,70.57,15.94,90.8475
27,MN,2024-01-06,185.76,136.12,52.09,19.68,98.41250000000001
27,MN,2024-01-13,223.76,115.12,47.22,29.76,103.965
27,MN,2024-01-20,202.76,109.12,36.87,37.02,96.4425
27,MN,2024-01-27,196.76,95.12,30.91,26.07,87.215
27,MN,2024-02-03,182.76,86.47,40.57,44.98,88.69500000000001
27,MN,2024-02-10,173.76,100.12,25.57,37.85,84.325
27,MN,2024-02-17,187.76,78.25,30.26,29.76,81.5075
27,MN,2024-02-24,164.76,85.56,36.87,10.42,74.4025
27,MN,2024-03-02,172.76,95.12,61.44,7.42,84.185
27,MN,2024-03-09,182.76,126.12,69.65,6.28,96.20249999999999
27,MN,2024-03-16,213.76,135.12,81.31,19.55,112.435
27,MN,2024-03-23,222.76,147.12,114.31,41.81,131.5
27,MN,2024-03-30,234.76,180.12,140.31,55.81,152.75
