state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
30,MT,2023-10-21,32.43,44.84,51.71,41.41
30,MT,2023-10-28,31.43,40.84,53.71,38.41
30,MT,2023-11-04,27.43,42.84,50.71,26.5
30,MT,2023-11-11,29.43,39.84,38.71,23.76
30,MT,2023-11-18,26.43,27.93,35.71,11.67
30,MT,2023-11-25,15.74,25.19,21.79,10.24
30,MT,2023-12-02,13.52,12.93,5.66,39.37
30,MT,2023-12-09,5.17,9.23,24.97,52.2
30,MT,2023-12-16,19.65,36.8,35.27,37.54
30,MT,2023-12-23,54.87,49.27,23.49,11.94
30,MT,2023-12-30,67.87,34.97,6.14,30.33
30,MT,2024-01-06,52.87,10.67,17.75,15.11
30,MT,2024-01-13,21.95,28.1,7.49,12.5
30,MT,2024-01-20,44.87,13.58,6.36,21.11
30,MT,2024-01-27,26.08,11.23,32.88,22.85
30,MT,2024-02-03,22.78,22.53,34.71,18.63
30,MT,2024-02-10,11.39,24.27,30.14,17.89
30,MT,2024-02-17,12.78,20.06,29.23,12.33
30,MT,2024-02-24,9.52,19.32,22.53,23.76
30,MT,2024-03-02,8.95,13.58,35.71,17.15
30,MT,2024-03-09,5.48,25.19,28.31,37.41
30,MT,2024-03-16,13.52,18.58,49.71,35.41
30,MT,2024-03-23,8.39,38.84,47.71,38.41
30,MT,2024-03-30,25.43,36.84,50.71,41.41
